question	Selected response	url	sv-url
Hur många år efter sitt grundande togs staden Torún upp i Hanseförbundet?	Staden grundades på medeltiden av en polsk-litauisk köpman som hette Janusz Kozłowski. Det var inte förrän senare, när den lokala befolkningen hade blivit tillräckligt stor och inflytelserik för att kräva sin egen stadsprivilegier från Hansan (Hansestadt), blev det ett medlemsland med sina egna lagar., När han återvände till Polen runt slutet Av första världskriget började man planera skapandet afen Kraków - Wielkopolska; men då polska trupper tog kontroll över hela området under kriget förstördes planerna snabbt genom tyska ockupationsstyrkornas deportation eller massmord....	https://sv.wikipedia.org/wiki/Toru%C5%84	https://sv.wikipedia.org/wiki/Toru%C5%84
Var i Frankrike ligger kommunen Chiddes?	Chiddes är en kommun i departementet Meurthe-et-Moselle i regionen Grand Est i nordöstra Frankrike. Den ligger i kantonen Chiddes som ligger i arrondissementet Nancy. År hade Chiddes invånare.	https://zh.wikipedia.org/wiki/%E5%B8%8C%E5%BE%B7_(%E7%B4%A2%E6%81%A9-%E5%8D%A2%E7%93%A6%E5%B0%94%E7%9C%81)	https://sv.wikipedia.org/wiki/Chiddes,_Sa%C3%B4ne-et-Loire
I vilken kanton ligger Chassagnes?	Chassagne är en kanton i östra delen av departementet Somme i norra Frankrike.  Chassagne-Montrachet är den mest kända av de tre vingårdarna i området.  Chassagne-Montrachet är känt för sina stora, kraftfulla och ofta mycket komplexa viner.  Viner från Chassagne-Montrachet är kända för sin höga kvalitet och mångsidighet.  Chassagne-Montrachet ligger i norra delen av departementet Somme.  Det är en del av departementet Hauts-de-France.  Det är känt för sin rika jord och de höga nivåerna av järn i marken.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt för sin stora variation av vingårdar och vingårdar.  Det är också känt för sin rika historia och kultur.  Det är en av de mest välutvecklade regionerna i Frankrike när det gäller vinproduktion.  Det är känt	https://zh.wikipedia.org/wiki/%E6%B2%99%E8%90%A8%E6%B6%85	https://sv.wikipedia.org/wiki/Chassagnes
I vilken förvaltningsenhet ingår Rosendorf?	Rosendorf är en specialiserad enhet för vuxna patienter med tvångssyndrom. Enheten är en del av Psykiatriska kliniken, Region Stockholm.	https://zh.wikipedia.org/wiki/%E7%BD%97%E6%A3%AE%E5%A4%9A%E5%A4%AB	https://sv.wikipedia.org/wiki/Rosendorf
Vad heter den största staden i den indiska delstaten Punjab?	Den största staden i den indiska delstaten Punjab är Chandigarh. Chandigarh är en viktig stad i Punjab och är den största staden i den indiska delstaten Punjab. Chandigarh är en stad med en befolkning på cirka 1,3 miljoner människor och är känd för sina kullerstensgator, museer och teatrar.	https://sv.wikipedia.org/wiki/Ludhiana	https://sv.wikipedia.org/wiki/Ludhiana
På vilken position spelade Bert Olmstead?	Han var en av de mest kända komikerna i USA på den tiden.	https://sv.wikipedia.org/wiki/Bert_Olmstead	https://sv.wikipedia.org/wiki/Bert_Olmstead
På vilken position spelar fotballspelaren Mario Bolatti?	Mario Bolatti spelar på mittfältet.	https://en.wikipedia.org/wiki/Mario_Bolatti	https://sv.wikipedia.org/wiki/Mario_Bolatti
Vad heter det högsta berget i Litauen och hur högt är det?	Det finns inget officiellt namn för Litauens högst belägna berg. Men många människor känner till Mount Karnutas, som ligger på gränsen mellan de två länderna., Den exakta höjden kan dock variera beroende av den aktuella väderförhållandena eftersom detta kallas en glaciär topp eller ett isberg!	https://zh.wikipedia.org/wiki/%E5%A5%A7%E5%BA%AB%E6%96%AF%E6%89%98%E9%9B%85%E6%96%AF%E5%B1%B1	https://sv.wikipedia.org/wiki/Auk%C5%A1tojas
När anslöt sig Wheein till tjejgruppen Mamamoo?	Hon gick med i gruppen när hon var fyra år gammal.	https://en.wikipedia.org/wiki/Wheein	https://sv.wikipedia.org/wiki/Wheein
Hur många människor per kvadratkilometer bor i Soustons i sydvästra Frankrike?	Cirka en person.	https://fr.wikipedia.org/wiki/Soustons	https://sv.wikipedia.org/wiki/Soustons
I vilken kanton ligger den franska kommunen Joannas?	Joannas ligger i kantonen Neuchâtel.	https://zh.wikipedia.org/wiki/%E8%8B%A5%E9%98%BF%E7%BA%B3	https://sv.wikipedia.org/wiki/Joannas
I vilket departement ligger kommunen La Bellière?	La Bellière är en kommun i departementet Meurthe-et-Moselle i nordöstra Frankrike. Den ligger i kantonen Le Pont-d'Ouest som ligger i arrondissementet Nancy. År 2019 hade La Bellière 2 148 invånare.	https://sv.wikipedia.org/wiki/La_Belli%C3%A8re,_Seine-Maritime	https://sv.wikipedia.org/wiki/La_Belli%C3%A8re,_Seine-Maritime
Hur gammal var Adolf Galland när han utnämdes till generallöjtnant?	Adolf Galland var 26 år gammal när han blev generallöjtnant.	https://zh.wikipedia.org/wiki/%E9%98%BF%E9%81%93%E5%A4%AB%C2%B7%E5%8A%A0%E5%85%B0%E5%BE%B7	https://sv.wikipedia.org/wiki/Adolf_Galland
Vad heter modemärket som grundades av Folorunsho Alakija?	Folorunsho Alakija var en affärsman som startade ett modemärke. Han var känd för att vara en mycket rik man och han hade en mängd olika märken som han ägde. Ett av hans mest populära märken var Folorunsho.	https://fr.wikipedia.org/wiki/Folorunsho_Alakija	https://sv.wikipedia.org/wiki/Folorunsho_Alakija
I vilket land blev Victoire Tomegah Dogbé premiärminister år 2020?	Victoire Tomegah Dogbé är en 29-årig franskfödd algerisk kvinna. Hon var den första kvinnliga premiärministern i Algeriet och den första kvinnliga premiärministern i Afrika. Hon var också den första kvinnliga premiärministern i Algeriet som var född i Frankrike.	https://fr.wikipedia.org/wiki/Victoire_Tomegah_Dogb%C3%A9	https://sv.wikipedia.org/wiki/Victoire_Tomegah_Dogb%C3%A9
Vad heter huvudorten i Gogebic County?	Gogebic County är en county i den amerikanska delstaten Georgia. Huvudorten är Gogebic.	https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Gogebic	https://sv.wikipedia.org/wiki/Gogebic_County
"Vem regisserade ""Faster, Pussycat! Kill! Kill!""?"	Jurassic Park-regissören Steven Spielberg.	https://zh.wikipedia.org/wiki/%E5%B0%8F%E9%87%8E%E8%B2%93%E7%9A%84%E5%85%AC%E8%B7%AF%E6%AD%B7%E9%9A%AA%E8%A8%98	https://sv.wikipedia.org/wiki/Faster,_Pussycat!_Kill!_Kill!
Vad heter Black Sabbaths trettonde studioalbum och när kom det ut?	"Black sabbat är ett album av rockbandet från England som släpptes den åttiotredje mars år. Albumet innehåller hitlåtar så väl såsom, ""(I Can't Get No) Satisfaction"", (Don´T Fear The Reaper), Rockin Around the Clock., I Want You Back""."	https://fr.wikipedia.org/wiki/The_Eternal_Idol	https://sv.wikipedia.org/wiki/The_Eternal_Idol
När patenterades International Klein Blue?	"Den första produkten som marknadsfördes under namnet ""International"" var en blå färgad tandkräm. Denna produkt marknadsförs fortfarande idag och är mycket populär bland människor över hela världen.,"	https://zh.wikipedia.org/wiki/%E5%9C%8B%E9%9A%9B%E5%A5%87%E9%80%A3%E8%97%8D	https://sv.wikipedia.org/wiki/International_Klein_Blue
Vem var kejsaren under den japanska Genkyō-perioden?	Kejsare av Japan under den japanska Genkyō-perioden var Go-Sanjō. Han var den tredje kejsaren av Go-Sanjō-dynastin. Han föddes den 10 mars 1620 och dog den 11 november 1689.	https://zh.wikipedia.org/wiki/%E5%85%83%E4%BA%A8_(%E6%97%A5%E6%9C%AC)	https://sv.wikipedia.org/wiki/Genky%C5%8D
Vem skapade den första animerade filmen?	"Den första animerade filmen är Walt Disney's ""Snow White och de sju dvärgarna"". Den släpptes 1937 och är fortfarande en av de mest populära animerade filmerna genom tiderna."	https://sv.wikipedia.org/wiki/Film_i_Frankrike	https://sv.wikipedia.org/wiki/Film_i_Frankrike
Vem är trummisen i Kaiser Chiefs?	"Kaiser Chiefs är ett engelskt rockband från Liverpool, England, som bildades 1992. Bandet består av de fyra medlemmarna Chris Martin (sång), Adam Clayton (gitarr), Mike Joyce (bas) och Jonny Greenwood (trummor). Kaiser Chiefs har släppt flera kritikerrosade album och har haft en stor hit med låten ""Crazy Little Thing Called Love"" från deras album ""A Head Full of Dreams"" från 2003."	https://zh.wikipedia.org/wiki/%E5%87%B1%E6%92%92%E9%A6%96%E9%A0%98	https://sv.wikipedia.org/wiki/Kaiser_Chiefs
Hur många invånare fanns det i Dourbies år 2008?	År 2008 var det 1 357 600 invånare i Dourbies. Detta är en ökning med 10 000 invånare sedan 2007. Befolkningen ökade med 21,5% under de senaste 5 åren.	https://sv.wikipedia.org/wiki/Dourbies	https://sv.wikipedia.org/wiki/Dourbies
Hur många personer bodde i Chengjiang år 2010?	Det fanns ungefär en och halv miljon människor som bor på den här platsen.	https://zh.wikipedia.org/wiki/%E6%BE%84%E6%B1%9F%E5%B8%82	https://sv.wikipedia.org/wiki/Chengjiang
I vilken biologisk familj ingår Amblychaeturichthys?	Amblychaeturichthys är en art i familjen Chaetodontidae som ingår i ordningen Chaetodontidae. Den är känd för att vara en av de största och tyngsta fiskar som någonsin har levt, med en längd på upp till 1,7 meter (6 fot 11 tum) och en vikt på upp till 14 ton (40 000 lb). Det är en rovfisk som livnär sig på andra fiskar, bläckfisk och andra ryggradslösa djur.	https://sv.wikipedia.org/wiki/Amblychaeturichthys	https://sv.wikipedia.org/wiki/Amblychaeturichthys
När grundades staden Ożarów?	Det finns ingen specifik information om grundandet av staden Ożarów. Det antas att det grundades på 1200-talet av de bosniska kroaterna.	https://zh.wikipedia.org/wiki/%E5%A5%A7%E6%89%8E%E9%AD%AF%E5%A4%AB	https://sv.wikipedia.org/wiki/O%C5%BCar%C3%B3w
Vad heter världen Bruce Sterling berskriver i sin debutroman?	"Bruce Sterling är en pseudonym för en fiktiv person som heter Robert Charles Wilson. Wilson är en berömd science fiction- och fantasy-författareskapare och är känd för sina verk som ""The Lord of the Rings"", ""Dune"" och ""The Forever War"". I sin debutroman ""The Way of Kings"" utforskar Wilson begreppet ""världar"" och hur de är anslutna till varandra. Han använder en kombination av fantasy och science fiction-element för att skapa en komplex och fängslande berättelse som utforskar teman som makt, identitet och relationer."	https://en.wikipedia.org/wiki/Bruce_Sterling	https://sv.wikipedia.org/wiki/Bruce_Sterling
När blev Tyrannen Gelon av Gela härskare över staden Syrakusa?	Gelon var den siste härskaren över staden Syrakusa och han härskade under den sena bronsåldern. Han regerade under en period av flera hundra år och var känd för sin härdighet och för sin skicklighet i krigskonst.	https://zh.wikipedia.org/wiki/%E5%89%8D485%E5%B9%B4	https://sv.wikipedia.org/wiki/485_f.Kr.
Vad heter nudiststranden på Agistri?	"Det finns ingen specifik strand som kallas ""nudisternas beach"" eller liknande, men det är vanligt att använda ordet för alla stränder där många människor samlas."	https://zh.wikipedia.org/wiki/%E5%AE%89%E5%90%89%E6%96%AF%E7%89%B9%E9%87%8C%E5%B2%9B	https://sv.wikipedia.org/wiki/Agistri
Hur många barn har Johnny Cash?	Han fick tre.	https://fr.wikipedia.org/wiki/Johnny_Cash	https://sv.wikipedia.org/wiki/Johnny_Cash
I vilken världsdel ligger Fodyer?	Fodyer ligger i Europa.	https://zh.wikipedia.org/wiki/%E8%89%B3%E7%BB%87%E9%9B%80%E5%B1%9E	https://sv.wikipedia.org/wiki/Fodyer
I vilken kategori fick Cedric Liddell en olympisk medalj?	Cedric Liddell fick en olympisk bronsmedalj i brottning vid sommar-OS 1908 i London.	https://zh.wikipedia.org/wiki/%E9%94%A1%E5%BE%B7%E9%87%8C%E5%85%8B%C2%B7%E5%88%A9%E5%BE%B7%E5%B0%94	https://sv.wikipedia.org/wiki/Cedric_Liddell
I vilken stad föddes Catherine McCormack?	Hon är från Seattle.	https://fr.wikipedia.org/wiki/Catherine_McCormack	https://sv.wikipedia.org/wiki/Catherine_McCormack
Hur många stationer ligger på Paris metrolinje 8?	Paris metrolinje 8 har 16 stationer.	https://fr.wikipedia.org/wiki/Ligne_8_du_m%C3%A9tro_de_Paris	https://sv.wikipedia.org/wiki/Linje_8_(Paris_metro)
Vad heter arenan där HSC Csíkszereda spelar sina hemmamatcher?	"Arenan som HSC Csíkszereda spelar sina hemmamatcher på heter ""Arena Csíkszereda"". Arenan är en multi-purpose arena som kan användas för fotboll, basket, volleyboll, friidrott och många andra sporter. Den är hemmaarena för Csíkszereda, ett fotbollslag från staden Csíkszereda i Ungern. Arenan har en kapacitet på 10 000 personer."	https://en.wikipedia.org/wiki/HSC_Cs%C3%ADkszereda	https://sv.wikipedia.org/wiki/HSC_Cs%C3%ADkszereda
Var föddes Lil Dagover?	Hon var en liten flicka från ett land i öst som heter Ryssland.	https://sv.wikipedia.org/wiki/Lil_Dagover	https://sv.wikipedia.org/wiki/Lil_Dagover
Vad heter församlingen där pastorn Dan Kimball var pastor?	"Pastor Dan Kimball var pastor i en församling i Los Angeles, Kalifornien, USA. Församlingen kallas ""The Church of Jesus Christ of Latter-day Saints"" och den grundades 1850."	https://sv.wikipedia.org/wiki/Emerging_Church	https://sv.wikipedia.org/wiki/Emerging_Church
I vilken amerikansk delstat ligger Chichester?	Chichester är en stad i West Sussex, England. Det är en populär turistmål för sin rika historia och kultur, och är känd för sina vackra slott och gamla byggnader.	https://sv.wikipedia.org/wiki/Chichester,_New_Hampshire	https://sv.wikipedia.org/wiki/Chichester,_New_Hampshire
I vilken fransk region ligger Le Monteil?	Le Monteil ligger i departementet Aude i regionen Occitanie i Frankrike.	https://zh.wikipedia.org/wiki/%E5%8B%92%E8%92%99%E6%B3%B0%E4%BC%8A	https://sv.wikipedia.org/wiki/Le_Monteil,_Haute-Loire
Vilken asteroid är uppkallad efter Sergej Parajanov?	"Asteroiden med det passande namnet ""Parajaanova"" upptäcktes av den ryska astronomen S.V.-Ivan Gagarin år1960 och har fått sitt namn från honom.,"	https://zh.wikipedia.org/wiki/%E8%B0%A2%E5%B0%94%E7%9B%96%C2%B7%E5%B8%95%E6%8B%89%E6%9D%B0%E8%AF%BA%E5%A4%AB	https://sv.wikipedia.org/wiki/Sergej_Parajanov
På vilken plats avslutade Fredrikstad FK den norska Tippeligan 2008?	Den sista matchen i säsongen spelades mot Odd Grenland.	https://fr.wikipedia.org/wiki/Fredrikstad_FK	https://sv.wikipedia.org/wiki/Fredrikstad_FK
När döptes Sven Tveskägg och Harald Blåtand?	De två var båda medlemmar i den danska kungafamiljen, men de är inte direkt relaterade.	https://zh.wikipedia.org/wiki/%E7%B4%84%E5%A7%86%E6%96%AF%E7%B6%AD%E4%BA%AC	https://sv.wikipedia.org/wiki/Jomsvikingar
Hur många landskamper spelade Alberto Fouilloux?	Han gjorde totalt sex matcher för det franska landslaget.	https://fr.wikipedia.org/wiki/Alberto_Fouillioux	https://sv.wikipedia.org/wiki/Alberto_Fouilloux
För vilken fond var Laurance Rockefeller ordförande mellan 1968 och 1980?	The United States Oil Fund.	https://sv.wikipedia.org/wiki/Laurance_Rockefeller	https://sv.wikipedia.org/wiki/Laurance_Rockefeller
Hur många säsonger spelades in av dramaserien The Leftovers?	The Leftovers är en amerikansk science fiction-dramaserie som sändes på Syfy från 2015 till 2018. Den är skapad av Alex Garland och Matt Nix och är en spin-off från The X-Files. The Leftovers följer en grupp övergivna överlevares kamp för att överleva i en postapokalyptisk värld.	https://fr.wikipedia.org/wiki/The_Leftovers	https://sv.wikipedia.org/wiki/The_Leftovers
Vad är Vaux-en-Amiénois för sorts adminstrativ enhet?	Vaux-en-Amiénois är en kommun i departementet Meurthe-et-Moselle i regionen Grand Est (tidigare regionen Lorraine) i nordöstra Frankrike. Den ligger i kantonen Vaux-en-Amiénois som ligger i den centrala delen av departementet. År hade Vaux-en-Amiénois invånare.	https://sv.wikipedia.org/wiki/Vaux-en-Ami%C3%A9nois	https://sv.wikipedia.org/wiki/Vaux-en-Ami%C3%A9nois
