	URL-es	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
5502	https://es.wikipedia.org/wiki/Sophie_Nélisse	ES	¿En qué película interpretó Sophie Nélisse el papel de Liesel Meminger?	Qwen/Qwen2-7B-Instruct	"Sophie Nélisse interpretó el papel de Liesel Meminger en la película ""La Lista de Schindler"" (The Book Thief) de 2013."	Sophie Nélisse	n	y
1442	https://es.wikipedia.org/wiki/The_Punisher_(serie_de_televisión)	ES	¿En que plataforma se lanzó la serie de televisión The Punisher?	Iker/Llama-3-Instruct-Neurona-8b-v2	La serie de televisión The Punisher fue lanzada en la plataforma Netflix.	制裁者 (電視劇)	n	y
6265	https://es.wikipedia.org/wiki/HMY_Britannia_(1954)	ES	¿Cuál fue el último yate real de la Corona británica?	Qwen/Qwen2-7B-Instruct	El último yate real de la Corona británica es el Britannia. Fue un buque de guerra de la Royal Navy que se convirtió en el yate oficial del Rey Jorge VI y, después, de su hijo, el Rey Eduardo VIII. Sin embargo, Eduardo VIII renunció al trono antes de que pudiera utilizar el yate. Posteriormente, el yate pasó a ser utilizado por el Rey Jorge VI y su familia. Después de la muerte de Jorge VI en 1952, el yate continuó siendo utilizado por su sucesor, el Rey Federico, hasta que fue retirado del servicio activo en 1994.	HMY Britannia	n	y
6109	https://es.wikipedia.org/wiki/David_F._Sandberg	ES	¿Qué hacía David F. Sandberg antes de ser famoso y cómo llegó a la fama?	Iker/Llama-3-Instruct-Neurona-8b-v2	"Antes de ser famoso, David F. Sandberg era un actor y artista de acrobacias. Comenzó su carrera como actor en 1996 y apareció en varios programas de televisión y películas. Sin embargo, ganó fama como director con su película de horror ""Annabelle"" en 2014. La película fue un gran éxito y le valió elogios de la crítica, lo que llevó a que dirigiera su secuela ""Annabelle: Creation"" en 2017. Su trabajo como director le valió una mayor reconocimiento y lo llevó a dirigir la película de DC ""Shazam!"" en 2019."	David F. Sandberg	n	y
2288	https://es.wikipedia.org/wiki/Ecociudad	ES	¿Cuál es una característica principal de una ciudad sostenible?	Iker/Llama-3-Instruct-Neurona-8b-v2	Una característica principal de una ciudad sostenible es su capacidad para satisfacer las necesidades del presente sin comprometer la capacidad de las generaciones futuras para satisfacer sus propias necesidades. Esto se logra a través de la gestión eficiente de recursos, la reducción de residuos y la promoción del uso de energías renovables. Las ciudades sostenibles también priorizan la equidad social, económica y ambiental, asegurando que todos los residentes tengan acceso a recursos esenciales como el agua limpia, la comida saludable y el alojamiento asequible. Además, las ciudades sostenibles fomentan el transporte público, la caminata y el ciclismo para reducir las emisiones de carbono y mejorar la calidad del aire.	Sustainable city	n	n
6010	https://es.wikipedia.org/wiki/Real_Madrid_Castilla_Club_de_Fútbol	ES	¿Cuántos presidentes ha tenido el club de football español Real Madrid Castilla?	Qwen/Qwen2-7B-Instruct	"Hasta la fecha actual, el Club de Fútbol Real Madrid Castilla ha tenido varios presidentes. Sin embargo, es importante mencionar que los nombres y fechas pueden variar dependiendo del momento en que se haga la consulta. Te recomendaría verificar la información más reciente en una fuente confiable para obtener datos precisos. 

Algunos de los presidentes más recientes del Real Madrid Castilla incluyen a:

1. Jesús Pérez (2019 - actualidad)
2. Jorge Nocedal (2015-2019)
3. Miguel Torres (2014-2015)
4. José María Aznar (2013-2014)
5. Jesús Pérez (2011-2013)

Por favor, revisa las fuentes más recientes para obtener la información más actualizada."	Real Madrid Castilla	n	y
1664	https://es.wikipedia.org/wiki/Sirope_de_chocolate	ES	¿Cuál es el ingrediente principal del jarabe o sirope de chocolate?	Iker/Llama-3-Instruct-Neurona-8b-v2	El ingrediente principal del sirope o jarabe de chocolate es el cacao en polvo.	巧克力糖漿	n	n
1800	https://es.wikipedia.org/wiki/Rothbach	ES	¿En qué región de Francia esta ubicado Rothbach?	Iker/Llama-3-Instruct-Neurona-8b-v2	Rothbach está ubicado en la región de Alsacia, en el noreste de Francia.	罗特巴克	n	n
1987	https://es.wikipedia.org/wiki/Paradoja_francesa	ES	"¿A qué hace referencia la llamada ""paradoja francesa"" en teoría nutricional?"	Iker/Llama-3-Instruct-Neurona-8b-v2	"La ""paradoja francesa"" en teoría nutricional se refiere a la observación de que las poblaciones de Francia tienen una alta ingesta de grasas saturadas y colesterol en su dieta, pero una baja incidencia de enfermedades cardiovasculares. Esta paradoja ha llevado a los investigadores a cuestionar la relación directa entre la ingesta de grasas saturadas y colesterol y el riesgo de enfermedades cardiovasculares."	French paradox	n	n
2412	https://es.wikipedia.org/wiki/(5757)_Tichá	ES	¿Alrededor de qué cuerpo celeste orbita el asteroide (5757) Tichá?	Iker/Llama-3-Instruct-Neurona-8b-v2	El asteroide (5757) Tichá orbita alrededor del Sol.	小行星5757	n	n
5132	https://es.wikipedia.org/wiki/Laurance_Rockefeller	ES	¿Qué fondo administró Laurance Rockefeller entre 1940 y 1982?	Qwen/Qwen2-7B-Instruct	"Laurance Rockefeller administró el ""Fondo Permanente de Conservación"" (Conservation Endowment Fund) entre 1940 y 1982. Este fondo fue creado para financiar la conservación del medio ambiente y la educación ambiental. Es conocido por ser uno de los primeros fondos de conservación en Estados Unidos."	Laurance Rockefeller	n	y
4741	https://es.wikipedia.org/wiki/Speichersdorf	ES	¿En dónde está ubicado Speichersdorf?	meta-llama/Meta-Llama-3-8B-Instruct	Speichersdorf es un municipio ubicado en el distrito de Bayreuth, en el estado alemán de Baviera, Alemania.	Speichersdorf	n	n
6240	https://es.wikipedia.org/wiki/Bahram_I	ES	¿Quién fue Bahram I?	Qwen/Qwen2-7B-Instruct	Bahram I fue un rey del antiguo Imperio Persa que gobernó de 420 a 421 d.C. como el segundo rey del reino de Ardashir I. Bahram I es conocido por su breve reinado y por ser derrotado y asesinado en la batalla de Reshtak contra los hunos liderados por Attila. A pesar de su corta vida como rey, Bahram I tuvo un impacto significativo en la historia del antiguo Irán.	巴赫拉姆一世	n	y
6270	https://es.wikipedia.org/wiki/Pueblo_alamán	ES	¿Quiénes fueron los Alemanner o Alamanes?	Qwen/Qwen2-7B-Instruct	"Los Alamanes, también conocidos como Alemanes, son una etnia que se originó en el este de Francia y el oeste de Alemania durante la Edad Media. La región de origen de los alamanes es conocida como el Alto Rin, que incluye partes de lo que hoy son Francia, Alemania y Suiza.

La denominación ""Alamán"" proviene del nombre de los Alamannos, una tribu germánica que habitaba la región mencionada antes de la llegada de los francos. Los Alamannos eran conocidos por su lengua, la alamana, que fue una de las primeras lenguas germánicas escritas.

A medida que avanzaba el tiempo, los alamanes se convirtieron en una de las principales regiones de habla alemana en Europa. Hoy en día, la mayoría de los alamanes viven en Alemania, pero también se encuentran en Austria, Suiza, Liechtenstein y partes de Bélgica y Luxemburgo. Además, hay comunidades significativas de alamanes en otros países, como los Estados Unidos y Australia. 

Los alamanes han tenido un gran impacto en la cultura europea, contribuyendo a la ciencia, la filosofía, la literatura y la música, entre otras áreas."	Alemanner	n	y
1084	https://es.wikipedia.org/wiki/Pontificia_Universidad_Gregoriana	ES	¿Quién es el fundador de la Pontificia Universidad Gregoriana?	meta-llama/Meta-Llama-3-8B-Instruct	"La Pontificia Universidad Gregoriana fue fundada en 1551 por San Ignacio de Loyola, el fundador de la Compañía de Jesús, y por el cardenal Gian Pietro Carafa, que más tarde se convertiría en el papa Paulo IV. La universidad se estableció en Roma, Italia, y originalmente se llamó ""Collegio Romano"". En 1584, el papa Sixto V la elevó a la categoría de universidad y le dio el nombre de ""Università Gregoriana"", en honor al papa Gregorio XIII, que había sido un protector de la Compañía de Jesús."	宗座额我略大学	n	y
3196	https://es.wikipedia.org/wiki/Cosmolog%C3%ADa_observacional	ES	 ¿Qué estudia la cosmología observacional?	Iker/Llama-3-Instruct-Neurona-8b-v2	La cosmología observacional es el estudio científico del universo físico, utilizando métodos y herramientas de observación para recopilar datos sobre su estructura, composición y evolución. Esto incluye el estudio de objetos celestes como galaxias, estrellas, planetas y agujeros negros, así como fenómenos como la radiación de fondo cósmico de microondas, la radiación de rayos gamma y la materia oscura y energía oscura. La cosmología observacional también implica el uso de telescopios, radiotelescopios y otros instrumentos para recopilar datos sobre el universo, y el uso de modelos matemáticos y simulaciones para interpretar y analizar estos datos. El objetivo final de la cosmología observacional es entender la historia, estructura y destino del universo.	观测宇宙学	n	n
3721	https://es.wikipedia.org/wiki/Dissidia:_Final_Fantasy	ES	"¿En qué consola se lanzó por primera vez ""Dissidia: Final Fantasy""?"	meta-llama/Meta-Llama-3-8B-Instruct	"""Dissidia: Final Fantasy"" se lanzó por primera vez en la consola portátil PlayStation Portable (PSP) en 2008."	Dissidia: Final Fantasy	n	n
2798	https://es.wikipedia.org/wiki/Pleiotrop%C3%ADa	ES	¿Qué es la pleiotropía en genética?	Qwen/Qwen2-7B-Instruct	"La pleiotropía en genética se refiere a un fenómeno donde una sola aleación genética (un solo gen) tiene efectos sobre dos o más características o fenotipos diferentes. Por ejemplo, un solo gen puede controlar tanto el color de los ojos como la altura de un individuo. Este término proviene del griego ""pleiotropos"", que significa ""muchas frutas"", para indicar que un solo gen puede tener muchos efectos."	Pléiotropie	n	y
3497	https://es.wikipedia.org/wiki/(5757)_Tichá	ES	¿Alrededor de qué cuerpo celeste orbita el asteroide (5757) Tichá?	meta-llama/Meta-Llama-3-8B-Instruct	Según los datos de la NASA, el asteroide (5757) Tichá orbita alrededor del Sol.	小行星5757	n	y
5796	https://es.wikipedia.org/wiki/Imperio	ES	¿Cuál es el concepto de imperio?	meta-llama/Meta-Llama-3-8B-Instruct	"El concepto de imperio se refiere a un estado o organización política que tiene una gran cantidad de territorio y población bajo su control, y que ejerce una influencia significativa sobre los asuntos internos y externos de otros estados o regiones. Un imperio suele tener una estructura jerárquica, con un centro de poder y autoridad que se extiende a través de una red de administradores y funcionarios que implementan las decisiones del gobierno central.

Los imperios suelen tener varias características comunes:

1. Amplio territorio: Un imperio suele abarcar un área geográfica grande, que puede incluir varios países, regiones o continentes.
2. Población diversa: Un imperio puede tener una población diversa, compuesta por personas de diferentes etnias, religiones, lenguas y culturas.
3. Autoridad centralizada: Un imperio tiene una autoridad centralizada que toma decisiones y ejerce control sobre el territorio y la población.
4. Dominio sobre otros estados: Un imperio puede tener dominio sobre otros estados o regiones, lo que le permite influir en sus asuntos internos y externos.
5. Economía y recursos: Un imperio puede tener una economía y recursos significativos, lo que le permite mantener su poder y influencia.

Los imperios han sido una parte importante de la historia humana, y han sido creados y mantenidos por diferentes razones, como la expansión económica, la búsqueda de recursos, la expansión política, la defensa nacional o la búsqueda de gloria y poder.

Algunos ejemplos de imperios a lo largo de la historia incluyen:

* El Imperio Romano
"	帝国	n	n
1473	https://es.wikipedia.org/wiki/Parálisis_cerebral	ES	¿Qué caracteristicas presenta una parálisis cerebral?	Iker/Llama-3-Instruct-Neurona-8b-v2	"La parálisis cerebral es un grupo de trastornos neurológicos que afectan el movimiento y la coordinación muscular. Las características de la parálisis cerebral pueden variar ampliamente dependiendo de la causa subyacente y las áreas específicas del cerebro que se ven afectadas. Algunas características comunes incluyen:

1. Debilidad muscular: Los músculos pueden ser débiles, particularmente en los brazos y las piernas, lo que dificulta el movimiento y la realización de actividades diarias.

2. Movimientos anormales: Los individuos con parálisis cerebral pueden tener movimientos involuntarios, como temblores, espasmos o movimientos de tipo de acrónimo, que pueden ser dolorosos y dificultar el movimiento.

3. Dificultades de la marcha y el equilibrio: La parálisis cerebral puede afectar la capacidad de caminar, mantener el equilibrio y coordinar los movimientos de las piernas.

4. Problemas de la coordinación: Los individuos con parálisis cerebral pueden tener dificultades con movimientos precisos, como alcanzar para agarrar un objeto o escribir.

5. Dificultades de la habla y la deglución: La parálisis cerebral puede afectar los músculos involucrados en la habla y la deglución, lo que lleva a un habla entrecortada, dificultad para hablar o tragar.

6. Problemas sensoriales: Algunas personas con parálisis cerebral pueden experimentar problemas sensoriales, como una sensación de hormigueo o entumecimiento en las manos o los pies.

7. Convulsiones: Algunas formas de parálisis cerebral están asociadas con convulsiones, que pueden ser desencadenadas por el estrés, el esfuerzo físico o cambios en el entorno.

8. Dificultades cognitivas: Aunque la mayoría de las personas con parálisis cerebral tienen inteligencia normal, algunas pueden tener dificultades con la atención, la memoria y la resolución de problemas.

La gravedad de estas características puede variar ampliamente, desde leve a severa, y muchos individuos con parálisis cerebral pueden tener solo unos pocos síntomas. El tratamiento y la terapia pueden ayudar a gestion"	腦性麻痺	n	y
5088	https://es.wikipedia.org/wiki/Retrónimo	ES	¿Qué es un retrónimo?	Qwen/Qwen2-7B-Instruct	"Un retrónimo es una palabra que se utiliza para nombrar algo que tiene la misma función que otra palabra, pero con un significado o uso ligeramente diferente. En otras palabras, es una palabra que ""retrona"" o cambia el significado de otra palabra. Por ejemplo, en inglés, ""bank"" puede referirse tanto a un banco financiero como a la orilla de un río, y la palabra ""banker"" puede referirse tanto a un banquero como a alguien que ayuda a construir una pila de arena en la playa."	Retronym	m	y
4305	https://es.wikipedia.org/wiki/Murero	ES	¿En qué comunidad autónoma de España está localizado Murero?	meta-llama/Meta-Llama-3-8B-Instruct	Murero es un municipio situado en la comunidad autónoma de Aragón, España.	Murero	n	y
2436	https://es.wikipedia.org/wiki/Dissidia:_Final_Fantasy	ES	"¿En qué consola se lanzó por primera vez ""Dissidia: Final Fantasy""?"	Iker/Llama-3-Instruct-Neurona-8b-v2	"""Dissidia: Final Fantasy"" fue lanzado por primera vez en la consola PlayStation Portable (PSP)."	Dissidia: Final Fantasy	n	n
6218	https://es.wikipedia.org/wiki/International_Klein_Blue	ES	¿Qué es el International Klein Blue y cuál es el origen de su nombre?	Qwen/Qwen2-7B-Instruct	"El International Klein Blue, también conocido como IKB, es un color particularmente intenso y azul oscuro que fue desarrollado por el artista y fotógrafo Georges Mathieu en colaboración con el pintor Yves Klein. Este color se caracteriza por su tono azul profundo y su brillo metálico.

El nombre ""International Klein Blue"" se originó cuando Klein presentó sus pinturas azules en una exposición en París en 1957. Algunos críticos y compradores extranjeros se confundieron y creyeron que Klein estaba vendiendo pinturas de un color azul que era internacionalmente reconocido, por lo que le llamaron ""International Klein Blue"". 

Después de esto, el color se convirtió en un objeto de deseo para muchos coleccionistas y artistas, y se ha utilizado en una variedad de contextos, desde la pintura hasta la moda y la decoración de interiores. Sin embargo, es importante mencionar que el color exacto del IKB puede variar ligeramente dependiendo de la técnica utilizada para producirlo y de las condiciones de luz en las que se ve."	國際奇連藍	n	y
1623	https://es.wikipedia.org/wiki/Corcorax_melanorhamphos	ES	¿Cuál es el único continente en el que habitan los corvinos negros (Corcorax melanorhamphos)?	Iker/Llama-3-Instruct-Neurona-8b-v2	Los corvinos negros (Corcorax melanorhamphos) son nativos de Australia.	White-winged chough	n	n
1122	https://es.wikipedia.org/wiki/Moritz_Volz	ES	¿En qué equipo jugaba Moritz Volz y en qué posición?	Iker/Llama-3-Instruct-Neurona-8b-v2	Moritz Volz es un exfutbolista alemán que jugó como delantero. A lo largo de su carrera, jugó para varios clubes, incluyendo Bayern Munich, Fulham, Stuttgart y Schalke. Volz también representó a la selección nacional alemana en varias categorías de edad antes de retirarse del fútbol profesional en 2012.	莫里茨·福尔茨	n	y
5887	https://es.wikipedia.org/wiki/Delley-Portalban	ES	¿En qué cantón suizo se encuentra la comuna de Delley-Portalban?	Qwen/Qwen2-7B-Instruct	La comuna de Delley-Portalban se encuentra en el cantón de Jura en Suiza.	Delley-Portalban	n	y
2325	https://es.wikipedia.org/wiki/Adolf_Galland	ES	¿En qué guerras participó Adolf Galland?	Iker/Llama-3-Instruct-Neurona-8b-v2	Adolf Galland participó en la Primera Guerra Mundial, sirviendo en el ejército alemán. Más tarde, durante la Segunda Guerra Mundial, se convirtió en un comandante de la Luftwaffe, la fuerza aérea alemana.	阿道夫·加兰德	n	y
4313	https://es.wikipedia.org/wiki/Chun_Jung-myung	ES	¿Cuál fue la primera serie de television en la que participó el actor surcoreano  Chun Jung-myung?	meta-llama/Meta-Llama-3-8B-Instruct	"Según mi investigación, la primera serie de televisión en la que participó el actor surcoreano Chun Jung-myung fue ""School 2"" (, Hakgyo 2), que se emitió en 1995."	Chun Jung-myung	n	y
3060	https://es.wikipedia.org/wiki/Poospiza_baeri	ES	¿Qúe tipo de animal es el Poospiza baeri?	Qwen/Qwen2-7B-Instruct	El Poospiza baeri es un tipo de ave. Específicamente, es una especie de paseriforme que pertenece a la familia Tyrannidae, que también incluye a los tiroideos. Esta especie se encuentra en algunas regiones de Sudamérica.	Tucumántangara	y	y
4858	https://es.wikipedia.org/wiki/Bert_Olmstead	ES	¿En qué equipos de la NHL jugó Bert Olmstead durante su carrera?	Iker/Llama-3-Instruct-Neurona-8b-v2	Bert Olmstead jugó para los Montreal Canadiens, Toronto Maple Leafs y Detroit Red Wings en la NHL.	Bert Olmstead	n	y
4165	https://es.wikipedia.org/wiki/Estudio_de_casos_y_controles	ES	¿Para qué se usa un estudio de casos y controles en epidemiología?	meta-llama/Meta-Llama-3-8B-Instruct	"Un estudio de casos y controles es una técnica utilizada en epidemiología para investigar la relación entre un factor de riesgo (o exposición) y una enfermedad o condición de salud. Se utiliza para evaluar la asociación entre un factor de riesgo y una enfermedad, y para determinar si el factor de riesgo es un predictor de la enfermedad.

En un estudio de casos y controles, se seleccionan dos grupos de personas:

* Grupo de casos: personas que han desarrollado la enfermedad o condición de salud que se está estudiando.
* Grupo de controles: personas que no han desarrollado la enfermedad o condición de salud, pero que comparten características similares con el grupo de casos, como edad, género, ubicación geográfica, etc.

El objetivo es comparar las características y exposiciones entre los dos grupos para determinar si hay una asociación significativa entre el factor de riesgo y la enfermedad. Si se encuentra una asociación significativa, se puede inferir que el factor de riesgo es un predictor de la enfermedad.

Los estudios de casos y controles se utilizan para:

1. Evaluar la asociación entre un factor de riesgo y una enfermedad: se puede determinar si el factor de riesgo es un predictor de la enfermedad y cuál es la magnitud de la asociación.
2. Identificar los factores de riesgo: se puede determinar qué factores de riesgo están asociados con la enfermedad y cuál es la importancia de cada factor.
3. Evaluar la causalidad: se puede determinar si el factor de riesgo es una causa probable de la enfermedad.
4. Identificar los grupos de riesgo: se puede determinar qué grupos de personas están más expuestos al factor de riesgo y, por lo tanto, están más propensos a desarrollar la enfermedad.
5. Evaluar la efectividad de intervenciones: se puede determinar si una intervención específica reduce el riesgo de desarrollar la enfermedad.

Los estudios de casos y controles tienen varias ventajas, como:

* Son más fáciles y más baratos que otros tipos de estudios, como los estudios de cohortes.
* Pueden ser utilizados para estudiar enfermedades raras o poco comunes.
* Pueden ser utilizados para estudiar la asociación entre un factor de ries"	Étude cas-témoins	n	y
2993	https://es.wikipedia.org/wiki/Adolf_Galland	ES	¿En qué guerras participó Adolf Galland?	Qwen/Qwen2-7B-Instruct	"Adolf Galland fue un piloto de cazas y luego comandante de la Luftwaffe, la fuerza aérea alemana, durante la Segunda Guerra Mundial. Durante este conflicto, Galland participó en varias batallas y operaciones, incluyendo la Batalla de Inglaterra y la Batalla de Francia. También estuvo involucrado en la Operación Barbarroja, la invasión de la Unión Soviética. 

Además, Galland es conocido por su papel en la formación de la ""Escuadrilla Blitzkrieg"" o ""Escuadrilla Escuadrón"", una unidad de entrenamiento para nuevos pilotos que se convirtió en una de las más exitosas de la Luftwaffe.

Es importante mencionar que, a pesar de ser un destacado piloto de combate, Galland también ha sido criticado por su papel en la persecución y ejecución de civiles y prisioneros de guerra en Polonia y otros territorios ocupados durante la guerra."	阿道夫·加兰德	n	y
4355	https://es.wikipedia.org/wiki/Aston_Martin_Vanquish	ES	¿En qué años se produjo la primera generación del Aston Martin Vanquish?	Qwen/Qwen2-7B-Instruct	La primera generación del Aston Martin Vanquish se produjo entre los años 1997 y 2002.	阿斯顿·马丁V12 Vanquish	n	y
2642	https://es.wikipedia.org/wiki/Campeonato_Mundial_de_Taekwondo	ES	¿En qué año se celebró el primer Campeonato Mundial de Taekwondo femenino?	meta-llama/Meta-Llama-3-8B-Instruct	El primer Campeonato Mundial de Taekwondo femenino se celebró en 1975 en Seúl, Corea del Sur.	Världsmästerskapen i taekwondo	n	y
888	https://es.wikipedia.org/wiki/Moritz_Volz	ES	¿En qué equipo jugaba Moritz Volz y en qué posición?	Qwen/Qwen2-7B-Instruct	Moritz Volz es un exfutbolista alemán que jugó como defensa. Durante su carrera, jugó para varios equipos, incluyendo al 1. FC Kaiserslautern, donde ganó la Copa de Europa en 1988. También jugó para el Bayern de Múnich y el Eintracht Frankfurt. Además, representó a Alemania en la Copa Mundial de Fútbol de 1990.	莫里茨·福尔茨	n	y
