	url-localized	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
155	https://cs.wikipedia.org/wiki/R%C3%A1kosn%C3%AD%C4%8Dek	CS	Kdo namluvil Rákosníčka?	mistralai/Mistral-7B-Instruct-v0.3	"Rákosníčka je postavou z knihy ""Mlok a Rákosníček"" od českého spisovatele Jana Wericha. Tento humoristický román vznikl v roce 1957. Hlavními postavami jsou Mlok a Rákosníček, kteří se setkají v lese a vytvářejí mezi sebou různé dobrodružství. Rákosníček je charakterizován jako nevěřící, skeptický a ironický pták, který se snaží rozbíjet iluzi a přinášet realistický pohled na svět."	Rákosníček	m	y
249	https://cs.wikipedia.org/wiki/DILIA	CS	Čím se zabývá agentura DILIA?	meta-llama/Meta-Llama-3-8B-Instruct	"DILIA (Dům Inteligentních Logistických Inovací a Automatizace) is a Czech agency that focuses on intelligent logistics, innovations, and automation. Specifically, they deal with:

1. Research and development of innovative logistics solutions: DILIA works on developing new technologies and methods to improve the efficiency, sustainability, and competitiveness of logistics systems.
2. Automation and robotics: They focus on the development and implementation of automation and robotics solutions in logistics, such as autonomous vehicles, drones, and robotic systems.
3. Digitalization and data analysis: DILIA explores the potential of digital technologies, such as artificial intelligence, blockchain, and the Internet of Things (IoT), to optimize logistics processes and improve decision-making.
4. Supply chain management: They provide expertise and solutions for managing complex supply chains, including optimization of transportation, inventory management, and warehousing.
5. Testing and validation of innovative solutions: DILIA has a testing and validation center where they test and validate new logistics technologies and solutions.

By focusing on these areas, DILIA aims to contribute to the development of a more efficient, sustainable, and competitive logistics sector in the Czech Republic and beyond."	DILIA	y	y
162	https://cs.wikipedia.org/wiki/%C4%8Cern%C3%A9_jezero	CS	Jak se jmenuje největší ledovcové jezero v České republice?	mistralai/Mistral-7B-Instruct-v0.3	Největší ledovcové jezero v České republice se jmenuje Velké Bystré. Nachází se v Krkonoších, v okrese Trutnov, v katastrálním území obce Vrchlabí. Má rozlohu asi 1,3 km². Jeho hloubka dosahuje až 16 metrů. Je to největší ledovcové jezero v České republice a druhé největší jezero v Krkonoších po jezeře Peklo.	Černé jezero	n	y
102	https://cs.wikipedia.org/wiki/Uran_%28prvek%29	CS	Kde se v Česku těžil uran?	mistralai/Mistral-7B-Instruct-v0.3	"V Česku se uran těžil v několika lokalitách, hlavně v oblasti Českého středohoří a v okolí Karlových Varů. Nejvýznamnějšími těžebními lokalitami byly:
"	Uran (prvek)	n	y
124	https://cs.wikipedia.org/wiki/Vojt%C4%9Bch_Zikmund	CS	Jak se jmenuje český chemik, podnikatel, průmyslník, který stál u zrodu české společnosti na výrobu a prodej benzínu?	mistralai/Mistral-7B-Instruct-v0.3	Tento český průmyslník, který se podílel na zrodu české společnosti na výrobu a prodej benzínu, se jmenuje Václav Laurin. Společně s Václavem Klementem založili v roce 1893 firmu Laurin & Klement, která se později stala součástí automobilky Tatra. Ačkoliv Laurin & Klement nejprve vyráběli jen bicykly, později se začali věnovat i výrobě motorů a automobilů. V roce 1897 zahájili výrobu benzínových motorek, které byly používány pro jízdu na kolech a později i pro automobily. V roce 1905 začali vyrábět i benzín, který prodávali ve svých prodejnách.	Vojtěch Zikmund	n	y
90	https://cs.wikipedia.org/wiki/Kosmova_kronika	CS	Jak se nazývá nejstarší česká kronika?	meta-llama/Meta-Llama-3-8B-Instruct	"Nejstarší česká kronika je tzv. Cosmasova kronika, která byla napsána v roce 1125. Její autor, krátkodobě známý jako Cosmas, byl possibly a Czech priest or a monk. The chronicle is a historical account of the early history of the Czech state, from the mythical origins of the Czech people to the reign of King Vladislav II in the early 12th century.

The Cosmas Chronicle is considered one of the most important sources of information about the early history of the Czech state and the Premyslid dynasty. It provides valuable insights into the culture, politics, and society of medieval Bohemia, and its historical accuracy is still debated among historians today."	Kosmova kronika	y	n
9	https://cs.wikipedia.org/wiki/Platan_javorolist%C3%BD_na_Kamp%C4%9B	CS	Jaký památný strom stojí na severu parku Kampa při vstupu od Lichtenštejnského paláce?	meta-llama/Meta-Llama-3-8B-Instruct	"A question about a specific landmark in Prague!

According to my knowledge, the answer is a beautiful Linden tree (Tilia cordata). The Linden tree stands at the north entrance of Kampa Park, near the Lichtenstein Palace (Lichtenštejnský palác).

This tree is indeed a notable landmark and a popular spot for photos. The Linden tree is a symbol of peace and friendship, and its shade provides a lovely oasis in the heart of the city.

Would you like to know more about the history of the park or the palace?"	Platan javorolistý na Kampě	y	y
248	https://cs.wikipedia.org/wiki/%C4%8Ceskoslovensk%C3%A1_televize	CS	Od jakého roku bylo v Československu veřejné vysílání Československé televize?	meta-llama/Meta-Llama-3-8B-Instruct	Československá televize začala s veřejným vysíláním 2. května 1953. První program byl vysílán z pražského studia v 8:00 hodin večer a obsahoval zpravodajství, dokumenty, hudbu a divadelní představení. Od té doby se ČST (Československá televize) stala hlavním zdrojem informací a zábavy pro československé obyvatelstvo.	Československá televize	n	y
85	https://cs.wikipedia.org/wiki/Vodn%C3%AD_n%C3%A1dr%C5%BE_Orl%C3%ADk	CS	U soutoku jakých dvou řek leží hrad Zvíkov?	meta-llama/Meta-Llama-3-8B-Instruct	Hrad Zvíkov leží na soutoku řek Lužnice a Vltavy.	Vodní nádrž Orlík	n	y
277	https://cs.wikipedia.org/wiki/%C5%A0koda_%28podnik%29	CS	Kdo byl zakladatelem strojírenského podniku Škoda?	meta-llama/Meta-Llama-3-8B-Instruct	"Zakladatelem strojírenského podniku Škoda byl Václav Škoda, český podnikatel a průmyslník. Škoda založil v roce 1859 v Plzni strojírenskou firmu, která se původně jmenovala ""Václav Škoda a spol."" a později byla přejmenována na ""Škodovy závody"". Firma se specializovala na výrobu strojů a zařízení, zejména pro textilní a hutní průmysl. Pod vedením Václava Škody se firma rychle rozvíjela a stala se významným hráčem na trhu v českých zemích. Po jeho smrti v roce 1890 pokračoval jeho syn, Emil Škoda, v řízení firmy a rozšířil její výrobní program o další oblasti, jako jsou lokomotivy, automobily a letadla. Škodovy závody se dnes patří mezi největší české strojírenské podniky."	Škoda (podnik)	n	y
88	https://cs.wikipedia.org/wiki/Karlovy_Vary	CS	Na soutoku jakých řek leží Karlovy Vary?	meta-llama/Meta-Llama-3-8B-Instruct	Karlovy Vary leží na soutoku řek Ohře a Teplá v Česku.	Karlovy Vary	n	n
212	https://cs.wikipedia.org/wiki/%C4%8Cesk%C3%BD_rozhlas_R%C3%A1dio_Junior	CS	Jak se jmenuje maskot stanice Český rozhlas Rádio Junior?	meta-llama/Meta-Llama-3-8B-Instruct	Maskot stanice Český rozhlas Rádio Junior se jmenuje Bambule!	Český rozhlas Rádio Junior	n	y
280	https://cs.wikipedia.org/wiki/Svratka	CS	Co je Svratka?	meta-llama/Meta-Llama-3-8B-Instruct	Svratka je řeka v Česku, která pramení v pohoří Žďárské vrchy a ústí do řeky Svratky, která je pravým přítokem řeky Dyje. Svratka má délku přibližně 125 km a protéká územím okresů Žďár nad Sázavou, Třebíč, Jihlava a Brno. Řeka je významná především pro své vodní zdroje a jako rekreační oblast. Mnoho lidí ji využívá k rybářství, vodním sportům a rekreačním účelům. Svratka je také významná pro své historické a kulturní hodnoty, jako jsou například hrady a zámky, které se nacházejí podél jejího toku.	Svratka	n	y
89	https://cs.wikipedia.org/wiki/HC_Kometa_Brno	CS	Pod jakým názvem byl založen hokejový klub HC Kometa Brno?	meta-llama/Meta-Llama-3-8B-Instruct	HC Kometa Brno byl založen v roce 1942 pod názvem Zbrojovka Brno. Nyní je známý jako HC Kometa Brno.	HC Kometa Brno	n	y
78	https://cs.wikipedia.org/wiki/Pet%C5%99%C3%ADn	CS	Co je to Petřín?	meta-llama/Meta-Llama-3-8B-Instruct	"Petřín (Petrín) is a hill in Prague, the capital city of the Czech Republic. It's a popular tourist destination and a symbol of the city.

Petřín is a 327-meter-high hill that offers stunning views of Prague and the Vltava River. The hill is home to several attractions, including:

1. Petřín Tower: a 60-meter-tall steel tower that was built in 1891 as a miniature version of the Eiffel Tower. It offers panoramic views of the city.
2. Mirror Maze: a large, confusing maze of mirrors that's a great place for fun and photos.
3. Strahov Monastery: a beautiful Baroque monastery that dates back to the 12th century.
4. Petřín Garden: a beautiful botanical garden with a variety of plants and flowers.
5. Mirror Chapel: a stunning chapel with intricate mirrors and a beautiful organ.

Petřín is also a popular spot for hiking, picnicking, and enjoying the views of the city. It's a must-visit destination for anyone traveling to Prague!"	Petřín	y	n
56	https://cs.wikipedia.org/wiki/Rozpaky_kucha%C5%99e_Svatopluka	CS	Kdo hrál hlavní roli v seriálu Rozpaky kuchaře Svatopluka?	meta-llama/Meta-Llama-3-8B-Instruct	"Hlavní roli kuchaře Svatopluka hrál herec Josef Kemr v českém televizním seriálu ""Rozpaky kuchaře Svatopluka"" (1979)."	Rozpaky kuchaře Svatopluka	n	y
297	https://cs.wikipedia.org/wiki/SK_Dynamo_%C4%8Cesk%C3%A9_Bud%C4%9Bjovice	CS	Jaké jsou klubové barvy fotbalového klubu Dynamo České Budějovice?	meta-llama/Meta-Llama-3-8B-Instruct	Klubové barvy fotbalového klubu Dynamo České Budějovice jsou modrá a bílá.	SK Dynamo České Budějovice	n	y
222	https://cs.wikipedia.org/wiki/Husitstv%C3%AD	CS	Které město v Čechách bylo vybudováno jako bašta husitů v roce 1420?	meta-llama/Meta-Llama-3-8B-Instruct	Městem v Čechách, které bylo vybudováno jako bašta husitů v roce 1420, je Tábor. Tábor byl založen v roce 1420 jako hlavní město husitského státu a sídlo husitského vojska. Město bylo vybudováno na místě původního vsi a stalo se centrem husitského hnutí v Čechách. Dnes je Tábor významným historickým a kulturním centrem České republiky.	Husitství	n	y
62	https://cs.wikipedia.org/wiki/%C4%8Cern%C3%A9_jezero	CS	Jak se jmenuje největší ledovcové jezero v České republice?	meta-llama/Meta-Llama-3-8B-Instruct	V České republice se nachází několik ledovcových jezer, ale největší je Jezero Španílské v Krkonoších. Má rozlohu přibližně 2,5 ha a leží v nadmořské výšce 1 460 metrů.	Černé jezero	n	y
86	https://cs.wikipedia.org/wiki/Saturnin_%28rom%C3%A1n%29	CS	Kdo je autorem humoristického románu Saturnin?	meta-llama/Meta-Llama-3-8B-Instruct	Autorem humoristického románu Saturnin je Karel Václav Rais. Román byl napsán v roce 1918 a jedná se o jeden z nejznámějších a nejpopulárnějších děl tohoto českého spisovatele. Saturnin je románem o mladém muži, který se vrací do svého rodného městečka a zažívá zde řadu komických a ironických situací. Román je známý svou humoristickou atmosférou, satirickými prvky a kritikou společnosti.	Saturnin (román)	n	y
53	https://cs.wikipedia.org/wiki/Petr_Ne%C4%8Das	CS	Z jakého důvodu podal Petr Nečas v roce 2013 demisi?	meta-llama/Meta-Llama-3-8B-Instruct	"Petr Nečas, český politik a bývalý předseda vlády České republiky, podal v roce 2013 demisi kvůli korupčnímu skandálu, který se týkal jeho blízké spolupracovnice a šéfky jeho kanceláře, Jana Kohoutové.

Skandál začínal v březnu 2013, kdy byl zveřejněn článek v novinách Mladá fronta DNES, který tvrdil, že Kohoutová měla údajně korupční vazby k podnikateli a že ji Petr Nečas finančně podporoval. Nečas tehdy odmítl všechny obvinění a řekl, že Kohoutová byla jeho blízkou spolupracovnicí a že ji podporoval pouze jako ženu, která byla v nelehké životní situaci.

Nicméně další vyšetřování a zveřejněné dokumenty odhalily, že Kohoutová měla skutečně korupční vazby k podnikateli a že Nečas ji finančně podporoval. To vedlo k tomu, že Nečas byl nucen podat demisi jako předseda vlády a ministra obrany. Demise byla přijata prezidentem republiky Václavem Klausem dne 17. června 2013."	Petr Nečas	n	y
33	https://cs.wikipedia.org/wiki/%C4%8Cechy	CS	Od jakého roku má Česko ve státním znaku jako hlavní symbol lva?	meta-llama/Meta-Llama-3-8B-Instruct	V českém státním znaku je lev od roku 1920. Lev je symbolem Čechů a je zobrazen na štítcích českého státního znaku spolu s orlem (symbolizuje Moravany) a lvem (symbolizuje Slezany). Tímto způsobem jsou symbolizovány všechny tři hlavní části České republiky.	Čechy	n	n
290	https://cs.wikipedia.org/wiki/Kosmova_kronika	CS	Jak se nazývá nejstarší česká kronika?	meta-llama/Meta-Llama-3-8B-Instruct	Nejstarší česká kronika se nazývá Cosmas Chronicle (latinsky: Chronica Boemorum) nebo také Kronika Kosmova. Byla napsána kolem roku 1125 a obsahuje historii Čechů od počátku až do roku 1125. Autorem kroniky je Cosmas z Pragy, který byl pražským kanovníkem a historikem. Kronika Cosmova je významným pramenem pro studium středověké české historie.	Kosmova kronika	m	y
282	https://cs.wikipedia.org/wiki/Ro%C5%BEmberkov%C3%A9	CS	Kdo byli Rožmberkové?	meta-llama/Meta-Llama-3-8B-Instruct	"Rožmberkové (also known as Rosenberg) were a prominent noble family in the Czech Republic and Austria during the Middle Ages and early modern period. They were one of the most influential and powerful families in the region, playing a significant role in the history of Bohemia, Moravia, and Austria.

The Rožmberkové family originated in the 13th century and were descended from the noble family of Rosenberg, which was founded by Otto von Rosenberg, a German nobleman. Over time, the family acquired vast territories and estates in Bohemia, Moravia, and Austria, becoming one of the most powerful and wealthy families in the region.

The Rožmberkové family was known for their military prowess, administrative skills, and cultural patronage. They held various high-ranking positions, including:

1. Governors of Bohemia and Moravia: The Rožmberkové family held the position of Governor of Bohemia and Moravia, which gave them significant influence over the region's politics and administration.
2. Dukes of Rosenberg: The family was also known as the Dukes of Rosenberg, a title they held from the 14th to the 17th century.
3. Knights of the Order of the Golden Fleece: Several members of the Rožmberkové family were members of the prestigious Order of the Golden Fleece, a chivalric order founded by Philip the Good, Duke of Burgundy.
4. Patrons of the arts: The Rožmberkové family was known for their patronage of the arts, supporting prominent artists, writers, and musicians of the time.

Some notable members of the Rožmberkové family include:

1. Petr Vok of Rožmberk (1539-1611): A prominent military leader and politician who played a key role in the Thirty Years' War.
2. Polyxena of Lobkowicz (1543-1573): A member of the family who was known for her beauty and her role in the court of Emperor Maximilian II.
3. Jan of Rožmberk (1577-1622): A military leader and politician who fought on behalf of the Habsburgs during the Thirty Years' War.

The Rožmberkové family played a significant role in shaping the history of the Czech Republic and Austria, and their legacy can still be seen in the many cultural and architectural landmarks they left behind."	Rožmberkové	y	y
225	https://cs.wikipedia.org/wiki/Petr_%C4%8Cech	CS	Na který hudební nástroj umí hrát slavný český brankář Petr Čech?	meta-llama/Meta-Llama-3-8B-Instruct	"Slavný český brankář Petr Čech je známý svou uměleckou stránkou i mimo fotbal. Kromě fotbalu hraje také na klavír. Petr Čech je totiž také skladatel a hudebník, který komponuje a hraje na klavír. Vyučil se hře na klavír již v dětství a jeho hudební talent byl dokonce oceněn cenou ""Mladý hudebník roku"" v roce 1999. Petr Čech také komponoval hudbu pro filmy, televizní seriály a další projekty."	Petr Čech	m	y
81	https://cs.wikipedia.org/wiki/Rud%C3%A9_pr%C3%A1vo	CS	Co bylo Rudé právo?	meta-llama/Meta-Llama-3-8B-Instruct	"Rudé právo (Czech for ""Red Right"") was a daily newspaper published in Czechoslovakia from 1920 to 1990. It was the official newspaper of the Communist Party of Czechoslovakia (KSČ) and served as a primary source of information and propaganda for the party.

Rudé právo was founded in 1920 as a successor to the newspaper Pravda, which was published during the First Czechoslovak Republic. After the KSČ came to power in 1948, Rudé právo became the official newspaper of the party and the government, and its circulation grew to become one of the largest in the country.

The newspaper was known for its strongly ideological and propagandistic tone, promoting the party's policies and ideology. It was also a key tool for disseminating information about the party's activities, decisions, and policies to the general public.

Rudé právo was published daily, with a circulation of around 1 million copies at its peak. It was available in both Czech and Slovak languages, with separate editions for each language.

After the Velvet Revolution in 1989, which led to the collapse of the communist regime, Rudé právo ceased publication in 1990. The newspaper's legacy is still debated among historians and scholars, with some viewing it as a key tool for spreading propaganda and suppressing dissent, while others see it as a vital source of information about the communist era in Czechoslovakia."	Rudé právo	y	n
281	https://cs.wikipedia.org/wiki/Rud%C3%A9_pr%C3%A1vo	CS	Co bylo Rudé právo?	meta-llama/Meta-Llama-3-8B-Instruct	"Rudé právo (Czech for ""Red Right"" or ""Red Law"") was a daily newspaper published in Czechoslovakia from 1920 to 1990. It was the official newspaper of the Communist Party of Czechoslovakia (KSČ) and served as a mouthpiece for the party's ideology and policies.

Rudé právo was founded in 1920, shortly after the establishment of the Czechoslovak Republic, and was initially a weekly publication. It became a daily newspaper in 1925. During its existence, the newspaper was known for its strong pro-communist bias and its role as a propaganda tool for the KSČ.

The newspaper was published in Czech, with a smaller edition in Slovak. Its circulation was relatively high, with a peak of around 1.5 million copies per day in the 1980s.

Rudé právo was known for its sensationalist and often inflammatory reporting, which was designed to promote the party's agenda and discredit its political opponents. The newspaper was also notorious for its lack of objectivity and its tendency to suppress or distort news that was unfavorable to the party.

After the Velvet Revolution in 1989, which led to the fall of communism in Czechoslovakia, Rudé právo ceased publication in 1990. The newspaper's legacy is still remembered today, with many Czechs viewing it as a symbol of the country's communist past and the propaganda machine that supported it."	Rudé právo	y	y
115	https://cs.wikipedia.org/wiki/Centrum_Paraple	CS	Co je náplní činnosti centra Paraple?	mistralai/Mistral-7B-Instruct-v0.3	"Centrum Paraple je český neziskový organizace, která se zabývá podporou a integrací lidí se zdravotním postižením. Náplní činnosti centra Paraple je:
"	Centrum Paraple	m	n
234	https://cs.wikipedia.org/wiki/Liblice_%28z%C3%A1mek%29	CS	Do jakého architektonického slohu patří zámek Libice?	meta-llama/Meta-Llama-3-8B-Instruct	"Zámek Libice nad Cidlinou patří k nejvýznamnějším a nejkrásnějším renesančním zámkům v České republice. Jeho architektonický sloh je renesanční, konkrétně je to sloh pozdní gotiky a rané renesance, který se vyvinul v 16. století.

Zámek byl postaven v letech 1563-1573 pro hraběte Zdeňka Vojtěcha z Pernštejna, který byl významným šlechticem a politikem své doby. Architektem zámku byl pravděpodobně italský architekt Giovanni Maria Nosseni, který byl aktivní v Čechách v druhé polovině 16. století.

Zámek Libice je charakteristický svou harmonickou a symetrickou stavbou, která je inspirována italskými renesančními zámky. Má čtvercový půdorys, na který je postavena hlavní budova s věžemi a arkádami. Fasády jsou členěny štíhlými pilíři a arkádami, které jsou zakončeny štíty. Vnitřní prostory zámku jsou bohatě zdobené malbami, sochami a štukem.

Celkově lze říci, že zámek Libice je významným příkladem renesanční architektury v Čechách a patří k nejkrásnějším a nejvýznamnějším kulturním památkám v České republice."	Liblice (zámek)	n	y
109	https://cs.wikipedia.org/wiki/Platan_javorolist%C3%BD_na_Kamp%C4%9B	CS	Jaký památný strom stojí na severu parku Kampa při vstupu od Lichtenštejnského paláce?	mistralai/Mistral-7B-Instruct-v0.3	"Stáleživý strom, který stojí na severu parku Kampa při vstupu od Lichtenštejnského paláce, je javor klen (Acer pseudoplatanus). Tento strom je vysoký asi 25 metrů a je známý jako ""Klen u Lichtenštejnského paláce"". Jeho věk se odhaduje na přes 200 let. Je chráněn jako památný strom."	Platan javorolistý na Kampě	n	y
32	https://cs.wikipedia.org/wiki/N%C3%A1m%C4%9Bst%C3%AD_M%C3%ADru_%28stanice_metra%29	CS	Která stanice pražského metra je nejhlubší?	meta-llama/Meta-Llama-3-8B-Instruct	"Nejhlubší stanice pražského metra je stanice ""Nádraží Veleslavín"" na lince A. Nachází se v hloubce 52 metrů pod povrchem. Stanice byla otevřena v roce 1985 a je umístěna pod náměstím Veleslavínskou v Praze 6."	Náměstí Míru (stanice metra)	m	y
255	https://cs.wikipedia.org/wiki/R%C3%A1kosn%C3%AD%C4%8Dek	CS	Kdo namluvil Rákosníčka?	meta-llama/Meta-Llama-3-8B-Instruct	"Rákosníček je hrdina české pohádky ""Rákosníček a jeho přátelé"" od Karla Čapka. Pohádku napsal v roce 1929 a ilustroval ji Josef Čapek, bratr Karla Čapka.

Rákosníček je malý, štíhlý a chytrý hrdina, který žije v rákosí a má mnoho přátel, jako jsou například rybička, křeček, veverka a další. Pohádku je možné považovat za klasiku české literatury a Rákosníček je jedním z nejznámějších českých pohádkových hrdinů."	Rákosníček	n	y
254	https://cs.wikipedia.org/wiki/Filozofick%C3%A1_fakulta_Univerzity_Karlovy	CS	Kolik fakult měla původní pražská univerzita z roku 1348?	meta-llama/Meta-Llama-3-8B-Instruct	"Původní pražská univerzita, založená roku 1348, měla pět fakult:

1. Teologická fakulta
"	Filozofická fakulta Univerzity Karlovy	n	y
135	https://cs.wikipedia.org/wiki/Josef_Kemr	CS	Uveďte jméno českého legendárního herce, který za svůj život ztvárnil více jako 150 rolí, a v roce 1993 získal Cenu Thálie za celoživotní mistrovství.	mistralai/Mistral-7B-Instruct-v0.3	"Jméno českého legendárního herce, který za svůj život ztvárnil více než 150 rolí a v roce 1993 získal Cenu Thálie za celoživotní mistrovství, je Jiří Menzel. Jeho kariéra sahá od 60. let 20. století až do současnosti. Jeho nejznámější filmová role je z filmu ""Ostře sledované vlaky"" z roku 1966, který získal Zlatou palmu na Filmovém festivalu v Cannes."	Josef Kemr	n	y
76	https://cs.wikipedia.org/wiki/Rad%C5%AFza	CS	Která česká zpěvačka si říká uměleckým jménem Radůza?	meta-llama/Meta-Llama-3-8B-Instruct	Česká zpěvačka, která si říká uměleckým jménem Radůza, je Iveta Bartošová.	Radůza	n	y
19	https://cs.wikipedia.org/wiki/Kostel_Bo%C5%BE%C3%ADho_milosrdenstv%C3%AD_a_svat%C3%A9_Faustyny_%28Slavkovice%29	CS	Jak se jmenuje kostel ve Slavkovicích, jehož autorem je architekt Ludvík Kolek?	meta-llama/Meta-Llama-3-8B-Instruct	"A specific question!

According to my knowledge, the church in Slavkovice, designed by architect Ludvík Kolek, is named ""Kostel svatého Mikuláše"" (St. Nicholas Church)."	Kostel Božího milosrdenství a svaté Faustyny (Slavkovice)	y	y
122	https://cs.wikipedia.org/wiki/Husitstv%C3%AD	CS	Které město v Čechách bylo vybudováno jako bašta husitů v roce 1420?	mistralai/Mistral-7B-Instruct-v0.3	Tábor, město v jižních Čechách, bylo založeno husity v roce 1420 jako bašta proti katolickému králi Zikmundu Lucemburskému. Bylo to jedno z nejvýznamnějších měst husitského hnutí.	Husitství	n	n
