Primary Wikipedia URL	title	URL-de	question
https://zh.wikipedia.org/wiki/%E5%B8%8C%E5%BE%B7_(%E7%B4%A2%E6%81%A9-%E5%8D%A2%E7%93%A6%E5%B0%94%E7%9C%81)	希德 (索恩-卢瓦尔省)	https://de.wikipedia.org/wiki/Chiddes_(Saône-et-Loire)	Zu welchem Kanton gehört die französische Gemeinder Chiddes?
https://fr.wikipedia.org/wiki/Prato_allo_Stelvio	Prato allo Stelvio	https://de.wikipedia.org/wiki/Prad_am_Stilfserjoch	Sprechen die meisten Einwohner in Prad am Stilfserjoch deutsch oder italienisch?
https://zh.wikipedia.org/wiki/2011%E5%B9%B4%E6%AD%90%E6%B4%B2%E8%B6%85%E7%B4%9A%E7%9B%83	2011年歐洲超級盃	https://de.wikipedia.org/wiki/Liste_der_UEFA-Super-Cup-Spiele#2011	Welche Mannschaften spielten im UEFA-Super-Cup 2011?
https://zh.wikipedia.org/wiki/%E8%8E%AB%E9%87%8C%E8%8C%A8%C2%B7%E7%A6%8F%E5%B0%94%E8%8C%A8	莫里茨·福尔茨	https://de.wikipedia.org/wiki/Moritz_Volz	Wie viele Länderspiele absolvierte Moritz Volz?
https://zh.wikipedia.org/wiki/%E6%B2%99%E8%90%A8%E6%B6%85	沙萨涅	https://de.wikipedia.org/wiki/Chassagnes	Wie heißen die Nachbargemeinden von Chassagnes?
https://en.wikipedia.org/wiki/Antenna_(biology)	Antenna (biology)	https://de.wikipedia.org/wiki/Fühler_(Biologie)	Welche Sexfüßer besitzen keine Antennen?
https://zh.wikipedia.org/wiki/%E7%BD%97%E6%A3%AE%E5%A4%9A%E5%A4%AB	罗森多夫	https://de.wikipedia.org/wiki/Rosendorf_(Thüringen)	Wann wurde die Kirche in Rosendorf (Thüringen) gebaut?
https://zh.wikipedia.org/wiki/%E7%99%BD%E7%B2%89%E8%8F%8C%E7%9B%AE	白粉菌目	https://de.wikipedia.org/wiki/Echte_Mehltaupilze	Was sind Haustorien bei Mehltaupilzen?
https://sv.wikipedia.org/wiki/Ludhiana	Ludhiana	https://de.wikipedia.org/wiki/Ludhiana	Wer gründete die indische Stadt Ludhiana?
https://sv.wikipedia.org/wiki/Bert_Olmstead	Bert Olmstead	https://de.wikipedia.org/wiki/Bert_Olmstead	Welche Vereine trainierte Bert Olmstead?
https://zh.wikipedia.org/wiki/%E8%85%A6%E6%80%A7%E9%BA%BB%E7%97%BA	腦性麻痺	https://de.wikipedia.org/wiki/Infantile_Zerebralparese	Wie oft ist eine infantiler Zerebralparese auf genetische Ursachen zurückzuführen?
https://zh.wikipedia.org/wiki/%E9%93%B2%E9%BD%BF%E4%B8%AD%E5%96%99%E9%B2%B8	铲齿中喙鲸	https://de.wikipedia.org/wiki/Bahamonde-Schnabelwal	Wie groß waren die Bahamonde-Schnabelwale, die im Dezember 2010 am Opape Beach im Norden der neuseeländischen Nordinsel angeschwemmt wurden?
https://sv.wikipedia.org/wiki/F%C3%BCzesabonyi_J%C3%A1r%C3%A1s	Füzesabonyi Járás	https://de.wikipedia.org/wiki/Kreis_Füzesabony	Wie viele Einwohner hat der ungarische Kreis Füzesabony?
https://fr.wikipedia.org/wiki/Khobar	Khobar	https://de.wikipedia.org/wiki/Khobar	Wer steckt hinter der Geiselnahme in Khobar im Jahr 2004?
https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role	BAFTA Award for Best Actor in a Supporting Role	https://de.wikipedia.org/wiki/British_Academy_Film_Award/Bester_Nebendarsteller	Welcher Schauspieler wurde am häufigsten für den Preis des besten Nebendarstellers bei den British Academy Film Awards nominiert?
https://fr.wikipedia.org/wiki/Deuxi%C3%A8me_concile_de_Nic%C3%A9e	Deuxième concile de Nicée	https://de.wikipedia.org/wiki/Zweites_Konzil_von_Nicäa	Wann wurde das Zweite Konzil von Nicäa einberufen?
https://en.wikipedia.org/wiki/Mario_Bolatti	Mario Bolatti	https://de.wikipedia.org/wiki/Mario_Bolatti	Zu welchem Verein wechselte Mario Bolatti im Sommer 2007?
https://en.wikipedia.org/wiki/Spotted_blue-eye	Spotted blue-eye	https://de.wikipedia.org/wiki/Gepunktetes_Blauauge	Wie groß ist der Süßwasserfisch Gepunktetes Blauauge?
https://zh.wikipedia.org/wiki/%E6%A2%81%E5%B1%B1%E5%8E%BF	梁山县	https://de.wikipedia.org/wiki/Liangshan_(Jining)	Wie groß ist der chinesische Kreis Liangshan?
https://zh.wikipedia.org/wiki/%E5%A5%A7%E5%BA%AB%E6%96%AF%E6%89%98%E9%9B%85%E6%96%AF%E5%B1%B1	奧庫斯托雅斯山	https://de.wikipedia.org/wiki/Aukštojas	Zu welchem Höhenzug gehört die höchste Erhebung Litauens?
https://fr.wikipedia.org/wiki/Sophie_N%C3%A9lisse	Sophie Nélisse	https://de.wikipedia.org/wiki/Sophie_Nélisse	"Welche Rolle spielte Sophie Nélisse in dem Film ""Die Bücherdiebin"" aus dem Jahr 2013?"
https://zh.wikipedia.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E6%96%AF%E6%96%87%E5%B0%BC	約翰·斯文尼	https://de.wikipedia.org/wiki/John_Swinney	Was studierte John Swinney an der Universität in Edinburgh?
https://fr.wikipedia.org/wiki/The_Fens	The Fens	https://de.wikipedia.org/wiki/Fens	Welcher niederländische Ingenieur startete die Trockenlegung der englischen Fens im 17. Jahrhundert?
https://zh.wikipedia.org/wiki/%E5%9F%83%E8%92%82%E5%A5%A5%E5%8B%92	埃蒂奥勒	https://de.wikipedia.org/wiki/Étiolles	Wie weit ist Étiolles von Paris entfernt?
https://sv.wikipedia.org/wiki/Labalme	Labalme	https://de.wikipedia.org/wiki/Labalme	Was fand man bei Ausgrabungen in den Höhlen von Cerdon im Jahr 1914?
https://fr.wikipedia.org/wiki/Soustons	Soustons	https://de.wikipedia.org/wiki/Soustons	In welchem Stil ist die Kirche Saint-Pierre in Soustons gebaut?
https://zh.wikipedia.org/wiki/%E5%85%B1%E4%BA%AB%E6%BA%90%E4%BB%A3%E7%A0%81	共享源代码	https://de.wikipedia.org/wiki/Shared_Source	Wann wurde das Shared-Source-Programm von Microsoft ins Leben gerufen?
https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%96%AF%E7%9A%AE%E6%96%AF%E5%85%8B	卡斯皮斯克	https://de.wikipedia.org/wiki/Kaspijsk	Wie heißt die viertgrößte Stadt Dagestans?
https://zh.wikipedia.org/wiki/%E8%8B%A5%E9%98%BF%E7%BA%B3	若阿纳	https://de.wikipedia.org/wiki/Joannas	Aus welchem Jahrhundert stammt die Kirche Annonciation de la Vierge Marie in der fransösischen Gemeinde Joannas?
https://sv.wikipedia.org/wiki/La_Belli%C3%A8re,_Seine-Maritime	La Bellière, Seine-Maritime	https://de.wikipedia.org/wiki/La_Bellière_(Seine-Maritime)	Wie nennt man die Einwohner der französischen Gemeinder La Bellière?
https://fr.wikipedia.org/wiki/Diab%C3%A8te_de_type_2	Diabète de type 2	https://de.wikipedia.org/wiki/Diabetes_mellitus#Diabetes_Typ_2	In welche Gruppen wurde der Diabetes mellitus bis 1997 eingeteilt?
https://zh.wikipedia.org/wiki/%E9%98%BF%E9%81%93%E5%A4%AB%C2%B7%E5%8A%A0%E5%85%B0%E5%BE%B7	阿道夫·加兰德	https://de.wikipedia.org/wiki/Adolf_Galland	Wie viele Brüder hatte Adolf Galland?
https://zh.wikipedia.org/wiki/%E5%9C%A3%E7%93%A6%E5%B0%94	圣瓦尔	https://de.wikipedia.org/wiki/Saint-Voir	Welcher Fluss durchquert die französische Gemeinde Saint-Voir?
https://zh.wikipedia.org/wiki/%E6%B3%A2%E8%A5%BF%E7%B8%A3_(%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%B4%8D%E5%B7%9E)	波西縣 (印第安納州)	https://de.wikipedia.org/wiki/Posey_County	Aus welchen Teilen wurde Posey County im Bundesstaat Indiana im Jahr 1814 gebildet?
https://zh.wikipedia.org/wiki/%E4%BB%A5%E8%89%B2%E5%88%97%E8%88%AA%E7%A9%BA402%E8%99%9F%E7%8F%AD%E6%A9%9F%E7%A9%BA%E9%9B%A3	以色列航空402號班機空難	https://de.wikipedia.org/wiki/El-Al-Flug_402	Warum wurde der El-Al-Flug 402 im Jahr 1955 abgeschossen?
https://fr.wikipedia.org/wiki/Folorunsho_Alakija	Folorunsho Alakija	https://de.wikipedia.org/wiki/Folorunsho_Alakija	Wen listede das Forbes Magazin als 96. mächtigste Frau der Welt 2014?
https://zh.wikipedia.org/wiki/%E5%BA%93%E5%B0%94%E6%81%B0%E5%B0%94%C2%B7%E7%9B%96%E5%B0%94%E7%9B%96%E4%BC%8A	库尔恰尔·盖尔盖伊	https://de.wikipedia.org/wiki/Gergely_Kulcsár	In welchem Sport nahm Gergely Kulcsár bei den Olympischen Spielen teil?
https://fr.wikipedia.org/wiki/Victoire_Tomegah_Dogb%C3%A9	Victoire Tomegah Dogbé	https://de.wikipedia.org/wiki/Victoire_Tomegah_Dogbé	Zu welchem Konzern wechselte Victoire Tomegah Dogbé 1992?
https://zh.wikipedia.org/wiki/695%E5%B9%B4	695年	https://de.wikipedia.org/wiki/695	Wer war Herzog der Alemannen bis zum Jahr 695?
https://fr.wikipedia.org/wiki/Comt%C3%A9_de_Gogebic	Comté de Gogebic	https://de.wikipedia.org/wiki/Gogebic_County	Wie viele Einwohner pro Quadratkilometer wohnten laut Volkszählung 2010 in Gogebic County?
https://zh.wikipedia.org/wiki/%E6%B4%A5%E5%B7%B4%E5%B8%83%E9%9F%A6%E5%8E%86%E5%8F%B2	津巴布韦历史	https://de.wikipedia.org/wiki/Geschichte_Simbabwes	Wie hieß Simbabwe zur Zeit der britischen Kolonialherrschaft?
https://zh.wikipedia.org/wiki/%E7%BA%A6%E7%BF%B0%C2%B7%E5%85%8B%E9%87%8C%E6%96%AF%E6%89%98%E5%BC%97%C2%B7%E5%A8%81%E5%88%A9%E6%96%AF	约翰·克里斯托弗·威利斯	https://de.wikipedia.org/wiki/John_Christopher_Willis	In welchem Ort wurde John Christopher Willis geboren?
https://en.wikipedia.org/wiki/Aloadae	Aloadae	https://de.wikipedia.org/wiki/Aloiden	Was sind die Namen der Aloiden in der griechischen Mythologie?
https://sv.wikipedia.org/wiki/Retronym	Retronym	https://de.wikipedia.org/wiki/Retronym	Was ist ein Retronym?
https://zh.wikipedia.org/wiki/%E9%9F%A6%E5%BB%96%E5%A4%AB%E9%87%91%E6%B4%9E%E7%A9%B4	韦廖夫金洞穴	https://de.wikipedia.org/wiki/John_Christopher_Willis	Welche Ehrungen erhielt John Christopher Willis?
https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E5%8D%91%E6%96%AF%E5%B8%A6	阿尔卑斯带	https://de.wikipedia.org/wiki/Alpidische_Orogenese	Wie heißt die globale Gebirgsbildungsphase, in der auch die Alpen gebildet wurden?
https://zh.wikipedia.org/wiki/%E5%B0%8F%E9%87%8E%E8%B2%93%E7%9A%84%E5%85%AC%E8%B7%AF%E6%AD%B7%E9%9A%AA%E8%A8%98	小野貓的公路歷險記	https://de.wikipedia.org/wiki/Die_Satansweiber_von_Tittfield	"Wie heißen die drei Stripperinnen in dem amerikanischen Spielfilm ""Die Satansweiber von Tittfield""?"
https://fr.wikipedia.org/wiki/Gare_de_Walthamstow_Central	Gare de Walthamstow Central	https://de.wikipedia.org/wiki/Bahnhof_Walthamstow_Central	Welche U-Bahn Linie endet am Bahnhof Walthamstow Central?
https://fr.wikipedia.org/wiki/Marko_Kiprusoff	Marko Kiprusoff	https://de.wikipedia.org/wiki/Marko_Kiprusoff	In welcher Stadt und in welchem Jahr wurde Marko Kiprusoff geboren?
https://zh.wikipedia.org/wiki/%E6%B3%95%E5%9C%8B%E8%88%AA%E7%A9%BA296%E8%99%9F%E7%8F%AD%E6%A9%9F%E7%A9%BA%E9%9B%A3	法國航空296號班機空難	https://de.wikipedia.org/wiki/Air-France-Flug_296	Bei welchem Flug kam es zum ersten Absturz eines Airbus A320?
https://en.wikipedia.org/wiki/JL-2	JL-2	https://de.wikipedia.org/wiki/CSS-N-14	Auf welcher Interkontinentalrakete basiert die CSS-N-14?
https://zh.wikipedia.org/wiki/%E7%90%86%E6%9F%A5%E5%BE%B7%C2%B7%E6%B2%83%E6%81%A9%C2%B7%E6%96%AF%E5%AE%BE%E5%A1%9E	理查德·沃恩·斯宾塞	https://de.wikipedia.org/wiki/Richard_V._Spencer	Wer war der 76. United States Secretary der amerikanischen Navy?
https://en.wikipedia.org/wiki/BMW_X2	BMW X2	https://de.wikipedia.org/wiki/BMW_X2	Wann wurde die zweite Generation des BMW X2 vorgestellt?
https://zh.wikipedia.org/wiki/%E5%8F%A4%E5%B7%B4%E5%9C%8B%E5%AE%B6%E7%94%B7%E5%AD%90%E6%8E%92%E7%90%83%E9%9A%8A	古巴國家男子排球隊	https://de.wikipedia.org/wiki/Kubanische_Volleyballnationalmannschaft_der_Männer	Welchen Platz belegte die kubanische Volleyballnationalmannschaft der Männer bei den Olympischen Spielen 1972?
https://fr.wikipedia.org/wiki/The_Eternal_Idol	The Eternal Idol	https://de.wikipedia.org/wiki/The_Eternal_Idol	Wann und unter welchem Namen wurde das 13. Studioalbum der brittischen Band Black Sabbath veröffentlicht?
https://zh.wikipedia.org/wiki/%E5%85%83%E4%BA%A8_(%E6%97%A5%E6%9C%AC)	元亨 (日本)	https://de.wikipedia.org/wiki/Genkyō	Was kam vor der japanischen Ära Genkyō?
https://sv.wikipedia.org/wiki/Film_i_Frankrike	Film i Frankrike	https://de.wikipedia.org/wiki/Französischer_Film	Wie viele französische Filme wurden im Jahr 1932 gedreht?
https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%9B%85%E5%85%B8%E4%B8%93%E5%8C%BA	西雅典专区	https://de.wikipedia.org/wiki/Athen-West_(Regionalbezirk)	Welche Gemeinden gehören zu Athen-West?
https://zh.wikipedia.org/wiki/%E5%87%B1%E6%92%92%E9%A6%96%E9%A0%98	凱撒首領	https://de.wikipedia.org/wiki/Kaiser_Chiefs	In welcher Stadt wurde die Band Kaiser Chiefs gegründet?
https://sv.wikipedia.org/wiki/19521_Chaos	19521 Chaos	https://de.wikipedia.org/wiki/(19521)_Chaos	Wie lang ist die Umlaufdauer des Zwergplaneten Chaos?
https://sv.wikipedia.org/wiki/Ter%C3%A9ny	Terény	https://de.wikipedia.org/wiki/Terény	Wann wurde die evangelische Kirche im ungarischen Terény gebaut?
https://zh.wikipedia.org/wiki/%E9%87%8C%E5%BE%B9%E9%AB%98%E5%9C%B0	里徹高地	https://de.wikipedia.org/wiki/Ritscherhochland	Wo liegt das Ritscherhochland?
https://sv.wikipedia.org/wiki/Dourbies	Dourbies	https://de.wikipedia.org/wiki/Dourbies	Wie viele Einwohner hat die französische Gemeinde Dourbies?
https://fr.wikipedia.org/wiki/Domantas_Sabonis	Domantas Sabonis	https://de.wikipedia.org/wiki/Domantas_Sabonis	Gegen welche Mannschaft verlor die Herrennationalmannschaft Litauens das Endspiel der Basketball-Europameisterschaft 2015?
https://sv.wikipedia.org/wiki/Terrazzo,_Veneto	Terrazzo, Veneto	https://de.wikipedia.org/wiki/Terrazzo_(Venetien)	Wie viele Einwohner hatte die italienische Gemeinde Terrazzo im Dezember 2022?
https://fr.wikipedia.org/wiki/Liu_Wenhui	Liu Wenhui	https://de.wikipedia.org/wiki/Liu_Wenhui	Wann lebte Liu Wenhui?
https://zh.wikipedia.org/wiki/%E6%BE%84%E6%B1%9F%E5%B8%82	澄江市	https://de.wikipedia.org/wiki/Chengjiang	Über welche Fläche streckt sich der chinesische Kreis Chengjiang?
https://sv.wikipedia.org/wiki/Det_Norske_Baptistsamfunn	Det Norske Baptistsamfunn	https://de.wikipedia.org/wiki/Norwegische_Baptistenunion	Wer gründete die erste Baptistengemeinde in Norwegen?
https://zh.wikipedia.org/wiki/%E5%A5%A7%E6%89%8E%E9%AD%AF%E5%A4%AB	奧扎魯夫	https://de.wikipedia.org/wiki/Ożarów	In welcher Periode wurden Ożarów die Stadtrechte aberkannt?
https://zh.wikipedia.org/wiki/%E6%99%AE%E8%B4%B9%E4%B8%81%E6%96%AF%E8%8E%B1%E6%9C%AC	普费丁斯莱本	https://de.wikipedia.org/wiki/Pferdingsleben	Welcher Fluss fließt durch Pferdingsleben im Landrekis Gotha?
https://fr.wikipedia.org/wiki/Palm_River-Clair_Mel	Palm River-Clair Mel	https://de.wikipedia.org/wiki/Palm_River-Clair_Mel	Wie hoch ist der Anteil spanisch-sprechender Einwohner in Palm River-Clair Melin Florida?
