	fi_url	lang	question	model_id	output_text	title	has_fluency_mistakes	has_factual_mistakes
93	https://fi.wikipedia.org/wiki/Sakata	FI	Missä prefektuurissa Sakata sijaitsee?	LumiOpen/Poro-34B-chat	Sakata sijaitsee Yamagatan prefektuurissa, joka on yksi Japanin 47 prefektuurista. Yamagata sijaitsee Tohokun alueella Honshun saarella, ja sen pääkaupunki on Yamagata City. Sakata on puolestaan kaupunki Yamagatan prefektuurissa ja se on prefektuurin toiseksi suurin kaupunki.	酒田市	n	n
502	https://fi.wikipedia.org/wiki/Linja_8_(Pariisin_metro)	FI	Milloin Pariisin metron linja 8 avattiin?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Pariisin metron linja 8 avattiin virallisesti 1. huhtikuuta 1960. 	Ligne 8 du métro de Paris	n	y
532	https://fi.wikipedia.org/wiki/Jomsviikingit	FI	Kenen kerrotaan perustaneen jomsviikinkien veljeskunnan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Islantilaisen runoilijan Snorri Sturlusonin mukaan jomsviikinkien veljeskunnan perusti Jómin viikinkikuningas Freyrgeirr vuonna 870 jKr. 	Jomsviikingit	m	y
576	https://fi.wikipedia.org/wiki/Microsoft_Edge	FI	Mikä oli Microsoft Edgen koodinimi?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Microsoft Edgen koodinimi oli ""Blink"". "	Microsoft Edge	n	y
172	https://fi.wikipedia.org/wiki/Charles_Camilleri	FI	Mistä Charles Camilleri on pääosin tunnettu?	LumiOpen/Poro-34B-chat	Charles Camilleri on tunnettu hahmo Maltan politiikassa. Hän oli Maltan työväenpuolueen johtaja vuosina 1998–2018 ja Maltan parlamentin jäsen vuosina 1996–2019. Hänet tunnetaan pitkäaikaisena Maltan pääministerinä, ja hän oli Maltan pääministeri vuosina 1998–2003 ja uudelleen vuodesta 2013 vuoteen 2018. Hän oli myös Maltan valtiovarainministeri vuosina 1994–1998.	Charles Camilleri	n	y
140	https://fi.wikipedia.org/wiki/Mark_Warner	FI	Mitä osavaltiota Mark Warner edustaa Yhdysvaltain senaatissa?	LumiOpen/Poro-34B-chat	Mark Warner on yhdysvaltalainen poliitikko ja Virginian osavaltion entinen kuvernööri. Hän on edustanut Virginiaa Yhdysvaltain senaatissa vuodesta 2012 lähtien.	Mark Warner	n	y
220	https://fi.wikipedia.org/wiki/Captain_Morgan	FI	Mistä vuodesta lähtien Captain Morgania on valmistettu?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Captain Morgan on ollut markkinoilla vuodesta 1963 lähtien. 	Captain Morgan	n	y
355	https://fi.wikipedia.org/wiki/Altadena	FI	Kuinka paljon lunta Altadenassa keskimäärin sataa vuodessa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Altadenassa sataa vuosittain keskimäärin noin 480 tuumaa lunta. 	Altadena	n	y
546	https://fi.wikipedia.org/wiki/HMY_Britannia	FI	Monesko kuninkaallinen huvijahti HMY Britannia on?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	HMY Britannia on Britannian kuninkaallisen laivaston ainoa jäljellä oleva kuninkaallinen huvijahti. 	HMY Britannia	n	n
389	https://fi.wikipedia.org/wiki/Miehitetty_Japani	FI	Mihin Japanin historian aikakauteen Japanin miehitys ajoittui?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Japanin miehitys oli Japanin keisarikunnan toisen maailmansodan aikana suorittama sotilaallinen miehitys useissa Euroopan maissa. 	Occupation du Japon	n	y
169	https://fi.wikipedia.org/wiki/Mies_joka_itki	FI	Kuka näytteli Fegele Abramovichin hahmoa elokuvassa Mies joka itki?	LumiOpen/Poro-34B-chat	Mies, joka itki -elokuvan Fegele Abramovichia näytteli Anatoli Karanovitš.	Mies joka itki	n	y
255	https://fi.wikipedia.org/wiki/Gergely_Kulcsár	FI	Missä järjestetyissä EM-kilpailuissa Gergely Kulcsár voitti ensimmäisen arvokisamitalinsa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Gergely Kulcsár voitti ensimmäisen arvokisamitalinsa vuoden 1976 EM-kilpailuissa Sofiassa, Bulgariassa. 	Gergely Kulcsár	n	y
276	https://fi.wikipedia.org/wiki/Gunnar_Asplund	FI	Mitkä ovat Gunnar Asplundin tunnetuimmat työt?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Gunnar Asplund oli ruotsalainen arkkitehti ja muotoilija, joka tunnettiin minimalistisista ja funktionalistisista töistään. Hänen tunnetuimpia töitään ovat Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Brommassa, Asplundhuset Tukholman Bro	Gunnar Asplund	y	y
291	https://fi.wikipedia.org/wiki/Tammenkäävät	FI	Mikä on tammenkääpä?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Tammen juurikääpä on sieni, joka elää tammen juurissa ja aiheuttaa tammen kuoleman. 	Tammenkäävät	n	y
298	https://fi.wikipedia.org/wiki/Maroilles	FI	Mistä Maroilles valmistetaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Maroilles on perinteinen ranskalainen jälkiruoka, joka on valmistettu munankeltuaisista, sokerista ja maidosta. Ne valmistetaan yleensä munankeltuaisista, sokerista ja maidosta. 	Maroilles	m	y
594	https://fi.wikipedia.org/wiki/Kaksikäyttötuote	FI	Mitä kaksikäyttötuotteella tarkoitetaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Kaksikäyttötuotteella tarkoitetaan tuotetta, jota voidaan käyttää sekä rauhanomaisiin että vihamielisiin tarkoituksiin. 	Kaksikäyttötuote	n	n
51	https://fi.wikipedia.org/wiki/Adolf_Galland	FI	Missä tehtävissä Adolf Gallandin kaksi veljeä toimi toisessa maailmansodassa?	LumiOpen/Poro-34B-chat	Adolf Gallandin kaksi veljeä, Otto ja Rudolf, palvelivat myös Saksan ilmavoimissa (Luftwaffe) toisen maailmansodan aikana. Otto Galland oli majuri ja hävittäjälentäjä, joka kuoli taistelussa Britanniasta vuonna 1940. Rudolf Galland oli Luftwaffen kenttätuomioistuimen tuomari, ja hän palveli koko sodan ajan.	阿道夫·加兰德	n	y
512	https://fi.wikipedia.org/wiki/Kalervo_Rauhala	FI	Minkä lajin olympiamitalisti Kalervo Rauhala on?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Kalervo Rauhala on keihäänheiton olympiamitalisti. 	Kalervo Rauhala	n	y
621	https://fi.wikipedia.org/wiki/Li_(kiinalainen_kosmologia)	FI	Mitä li tarkoittaa kiinalaisessa kosmologiassa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Li on kiinalaisessa kosmologiassa maailmankaikkeuden perusperiaate, maailmankaikkeuden perusperiaate. Li edustaa maailmankaikkeuden kokonaisenergiaa, maailmankaikkeuden kokonaisvoimaa. Li on maailmankaikkeuden perustavanlaatuinen periaate, joka ylläpitää maailmankaikkeuden rakennetta ja järjestystä. 	Li (kiinalainen kosmologia)	y	y
256	https://fi.wikipedia.org/wiki/Victoire_Tomegah_Dogbé	FI	Kuka oli Togon ensimmäinen naispääministeri?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Togon ensimmäinen naispääministeri oli Togon ensimmäinen naispääministeri Marie Louise Amoussou. Hän toimi pääministerinä vuosina 2006-2007. 	Victoire Tomegah Dogbé	y	y
376	https://fi.wikipedia.org/wiki/Hammasjuuri	FI	Millainen kukka hammasjuurella on?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Hammasjuuri on lihansyöjäkasvi, jolla on erityinen rakenne, jota kutsutaan hammasjuureksi. Hammasjuuri on kasvin suu, joka imee ravintoaineita saaliistaan. Hammasjuuri on kehittynyt erikoistuneeksi rakenteeksi, jonka avulla kasvi voi vangita ja sulattaa pieniä hyönteisiä ja muita pieniä eläimiä, joita se kohtaa luonnossa. 	Hammasjuuri	n	y
405	https://fi.wikipedia.org/wiki/Carlo_Gozzi	FI	Minkä näytelmäkirjallisuuden alalajin kirjoittajana Carlo Gozzi pääosin tunnetaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Carlo Gozzi tunnetaan parhaiten komedioistaan. 	Carlo Gozzi	n	n
414	https://fi.wikipedia.org/wiki/Nokia_E5	FI	Kenen käyttöön Nokian E5-malli pääasiallisesti suunniteltiin?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Nokian E5-malli on suunniteltu yrityskäyttäjille, jotka tarvitsevat vankkaa puhelinta. Puhelimessa on kestävä muotoilu, siinä on täysimittainen QWERTY-näppäimistö ja se tukee yritystason sähköposti- ja kalenteriominaisuuksia. Lisäksi siinä on GPS-ominaisuus ja 3G-yhteys, joten se on ihanteellinen valinta niille, jotka tarvitsevat luotettavan ja tehokkaan puhelimen työkäyttöön. 	Nokia E5	n	n
304	https://fi.wikipedia.org/wiki/Kyle_Korver	FI	Missä joukkueessa Kyle Korver aloitti ammattilaisuransa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Kyle Korver aloitti ammattilaisuransa New York Giantsissa. 	Kyle Korver	n	y
478	https://fi.wikipedia.org/wiki/The_Eternal_Idol	FI	Mitä Black Sabbath -yhtyeen The Eternal Idol -albumin kansitaiteessa esiintyville malleille tapahtui?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Albumin kansikuvassa esiintyneet mallit olivat kaikki mukana musiikkibisneksessä, ja heidän uransa etenivät hyvin. Yksi malleista, Lisa Fischer, esiintyi myöhemmin Guns N' Rosesin ""Use Your Illusion"" -kiertueen aikana, ja toinen malli, Lisa Fischer, esiintyi myöhemmin Guns N' Rosesin ""Use Your Illusion"" -kiertueen aikana. "	The Eternal Idol	y	y
558	https://fi.wikipedia.org/wiki/Arts_%26_Humanities_Citation_Index	FI	Keskittyykö Taiteiden ja humanististen tieteiden viittausindeksi (A&HCI) ainoastaan taiteen ja humanististen tieteiden oppiaineisiin?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Ei, A&HCI keskittyy taiteiden ja humanististen tieteiden viittausindeksiin (A&HCI). Se ei kuitenkaan kata kaikkia tieteenaloja. Esimerkiksi luonnontieteiden, tekniikan ja lääketieteen viittausindeksejä (A&HCI) ei ole vielä kehitetty. 	Arts & Humanities Citation Index	n	y
225	https://fi.wikipedia.org/wiki/Chance_the_Rapper	FI	Mikä on Chance the Rapperin oikea nimi?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Chance the Rapper on oikea nimi. 	饶舌者钱斯	n	y
39	https://fi.wikipedia.org/wiki/CP-vamma	FI	Milloin vietetään Maailman CP-päivää?	LumiOpen/Poro-34B-chat	Maailman Cerebral Palsy -päivä on joka vuosi 6. lokakuuta. Se on päivä, jolloin lisätään tietoisuutta CP-vammasta ja sen vaikutuksista lapsiin ja aikuisiin ympäri maailmaa.	腦性麻痺	n	y
129	https://fi.wikipedia.org/wiki/Iisot	FI	Mihin heimoon iisot kuuluvat?	LumiOpen/Poro-34B-chat	Iisot ovat kasveja, jotka kuuluvat auringonkukkakasvien heimoon (Asteraceae). Auringonkukkakasvien heimo on suuri ja monipuolinen, ja siihen kuuluu monia tuttuja kasveja, kuten auringonkukat, päivänkakkarat ja asters. Iisot ovat kotoisin trooppisesta Afrikasta, ja niitä käytetään usein koristekasveina niiden kauniiden kukkien vuoksi. Niitä on myös käytetty perinteisesti lääkekasveina.	Idiot	m	y
347	https://fi.wikipedia.org/wiki/Pallohyppiäiset	FI	Mitä pallohyppiäiset ovat?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Pallohyppiäiset ovat pieniä, hoikkia hyönteisiä, jotka elävät pääasiassa puissa. Ne ovat väriltään yleensä vihreitä, ja niillä on kaksi paria jalkoja, joissa on pallomaiset päät. Niiden siivet ovat yleensä mustat, ja ne pystyvät hyppäämään pitkiä matkoja. Ne ovat hyödyllisiä pölyttäjiä, sillä ne auttavat levittämään siitepölyä kukasta kukkaan. 	Pallohyppiäiset	n	y
213	https://fi.wikipedia.org/wiki/Hamilton_Academical_FC	FI	Mikä on Hamilton Academical FC:n kotikenttä?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Hamilton Academical FC pelaa kotiottelunsa Hamilton Community Stadiumilla, joka sijaitsee Hamiltonissa, Ontariossa. 	Hamilton Academical F.C.	n	y
438	https://fi.wikipedia.org/wiki/Chance_the_Rapper	FI	Mikä on Chance the Rapperin oikea nimi?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Chance the Rapper on oikea nimi. 	饶舌者钱斯	n	y
421	https://fi.wikipedia.org/wiki/Carl_Löwenhielm	FI	Kuka oli Carl Löwenhielmin isä?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Carl Löwenhielmin isä oli Johan Löwenhielm. 	Carl Löwenhielm	n	y
610	https://fi.wikipedia.org/wiki/Sagar	FI	Millä lisänimellä Sagaria toisinaan kutsutaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Sagaria kutsutaan joskus myös ""Sagaran kuninkaaksi"". "	Sagar	n	y
508	https://fi.wikipedia.org/wiki/HSC_Cs%C3%ADkszereda	FI	Missä lajissa HSC Csíkszereda kilpailee? 	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Csíkszereda kilpailee esteratsastuksessa. 	HSC Csíkszereda	n	y
281	https://fi.wikipedia.org/wiki/Noonie_Bao	FI	Millä nimellä Jonnali Mikaela Parmenius paremmin tunnetaan?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Jonnali Mikaela Parmenius on tunnettu paremmin nimellä Jonnali. 	Noonie Bao	n	y
284	https://fi.wikipedia.org/wiki/Peter_Iwers	FI	Ketkä Peter Iwers on maininnut musiikillisiksi vaikutteikseen?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Peter Iwers on maininnut musiikillisiksi vaikutteikseen monia eri artisteja ja yhtyeitä. Joitakin tärkeimpiä ovat Bob Dylan, Neil Young, The Beatles, The Rolling Stones, The Clash, The Cure, ja The Cure. 	Peter Iwers	m	y
500	https://fi.wikipedia.org/wiki/Äänihäiriö	FI	Mihin luokkiin äänihäiriöt voidaan luokitella?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Äänihäiriöt voidaan luokitella sen mukaan, mikä ne aiheuttaa, mihin ne vaikuttavat ja miten niitä hoidetaan. Äänihäiriöitä voivat olla esimerkiksi dysfonia (käheys), dysphonia (käheys), dysphonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (käheys), dysfonia (	Äänihäiriö	y	y
485	https://fi.wikipedia.org/wiki/Alfred_Plé	FI	Missä lajissa Alfred Plé edusti Ranskaa vuoden 1920 kesäolympialaisissa?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Alfred Plé edusti Ranskaa vuoden 1920 kesäolympialaisissa nyrkkeilyssä. 	Alfred Plé	n	y
466	https://fi.wikipedia.org/wiki/Folorunsho_Alakija	FI	Kuka on Folorunsho Alakija?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Folorunsho Alakija on nigerialainen kirjailija ja aktivisti. Hän on kirjoittanut useita kirjoja, muun muassa ""The Slave Girl"" ja ""The Slave Girl's Daughter"", jotka käsittelevät naisten sortoa ja orjuutta. "	Folorunsho Alakija	n	y
267	https://fi.wikipedia.org/wiki/Länsi-Ateena	FI	Mikä on Länsi-Ateenan hallinnollinen keskus?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Länsi-Ateenan hallinnollinen keskus on Pagkrátin alue, joka sijaitsee Ateenan keskustassa. 	Länsi-Ateena	n	y
379	https://fi.wikipedia.org/wiki/Terengganun_lippu	FI	Kuvaile lyhyesti Terengganun lippu.	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Terengganun lippu on Malesian Terengganun osavaltion virallinen lippu. Se koostuu kolmesta vaakasuorasta raidasta, jotka edustavat osavaltion kolmea pääaluetta: pohjoista, etelää ja länttä. Lipun keskellä on valkoinen tähti, joka edustaa osavaltion pääkaupunkia, Kuala Lumpuria. 	Terengganun lippu	n	y
342	https://fi.wikipedia.org/wiki/Vuonankaalit	FI	Mihin kasviheimoon vuonankaalit kuuluvat?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Vuonankaalit kuuluvat ristikukkaisten heimoon. 	Vuonankaalit	n	y
205	https://fi.wikipedia.org/wiki/FK_Astana-1964	FI	Mikä oli FK Astana-1964:n alkuperäinen nimi?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	FK Astana-1964 oli Neuvostoliiton jalkapalloseura Astana, joka perustettiin vuonna 1964. Se pelasi Neuvostoliiton korkeimmalla sarjatasolla vuosina 1964-1989, jolloin se muutti nimensä FK Astana-1964:ksi. 	FK Astana-1964	n	y
587	https://fi.wikipedia.org/wiki/Nykyaikainen_viisiottelu	FI	Kuka kehitti nykyaikaisen viisiottelun?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Nykyaikaisen viisiottelun perusti vuonna 1889 paroni de Coubertin. 	Nykyaikainen viisiottelu	n	y
40	https://fi.wikipedia.org/wiki/Mesoplodon_traversii	FI	Mikä on mesoplodon traversiin suomenkielinen nimi?	LumiOpen/Poro-34B-chat	Mesoplodon traversi on suomeksi etelänmustavalaat.	铲齿中喙鲸	n	y
341	https://fi.wikipedia.org/wiki/Maailman_shakkiliitto	FI	Mikä on Maailman shakkiliiton motto?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	"Maailman shakkiliiton (World Chess Federation, WCF) motto on ""The World Chess is our Business"" (Maailman shakki on liiketoimintamme). "	Maailman shakkiliitto	n	y
101	https://fi.wikipedia.org/wiki/Dioumaténé	FI	Mitkä ovat Dioumaténén yleisimmät kielet?	LumiOpen/Poro-34B-chat	"Dioumatené on Länsi-Afrikan maassa Guineassa puhuttava mandariinikiinan murre. Se on yksi neljästä Guineassa puhuttavasta mandariinikiinan murteesta, muut ovat Jingpo, Lu ja Mulao. Dioumatenéa puhutaan pääasiassa Nzérékorén alueella, joka sijaitsee maan eteläosassa, ja sitä puhuu noin 50 000 ihmistä.

Virallinen kieli Guineassa on ranska, mutta mandariinikiina on myös laajalti käytössä erityisesti liike-elämässä ja hallinnossa."	Dioumaténé	n	y
188	https://fi.wikipedia.org/wiki/Karlsbadin_asetukset	FI	Minkä aatteiden rajoittamiseksi Karlsbadin asetukset säädettiin?	LumiOpen/Poro-34B-chat	Karlsbadin asetukset olivat sarja lakeja, jotka Habsburgien monarkia sääti vuonna 1819 rajoittaakseen salaisten seurojen ja salaliittojen toimintaa, joita pidettiin uhkana sen vallalle. Asetukset nimettiin Bad Karlsbadin kylpyläkaupungin mukaan, jossa ne allekirjoitettiin. Asetuksissa kiellettiin kaikki salaseurat ja yhdistykset, joiden tavoitteena oli kumota Habsburgien valta, tai edistää poliittisia tai uskonnollisia ideologioita, jotka olivat ristiriidassa keisarikunnan etujen kanssa. Asetukset kriminalisoivat salaisen kokoontumisen, salaisen kirjeenvaihdon ja kaikenlaisen salaliiton keisaria tai keisarillista valtaa vastaan. Ne asettivat ankaria rangaistuksia näiden määräysten rikkomisesta, mukaan lukien maastakarkotus ja omaisuuden takavarikointi. Karlsbadin asetukset olivat merkittävä tukahduttamisen väline Habsburgien monarkian vastaisia liikkeitä vastaan ja niitä käytettiin tukahduttamaan liberaaleja, demokraattisia ja nationalistisia liikkeitä 1800-luvun Keski-Euroopassa.	Karlsbadin asetukset	n	y
452	https://fi.wikipedia.org/wiki/CP-vamma	FI	Milloin vietetään Maailman CP-päivää?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Maailman CP-päivää vietetään vuosittain 6. lokakuuta. 	腦性麻痺	n	y
560	https://fi.wikipedia.org/wiki/Pallohyppiäiset	FI	Mitä pallohyppiäiset ovat?	Finnish-NLP/llama-7b-finnish-instruct-v0.2	Pallohyppiäiset ovat pieniä, hoikkia hyönteisiä, jotka muistuttavat muodoltaan palloa. Ne elävät metsissä ja muissa tiheissä elinympäristöissä, ja niitä tavataan yleisesti myös puutarhoissa ja puistoissa. Ne ovat aktiivisia yöllä, ja niitä houkuttelevat valot ja äänet. Pallohyppiäiset ovat hyödyllisiä pölyttäjiä, sillä ne auttavat levittämään siitepölyä kukista toiseen. 	Pallohyppiäiset	n	y
