index	url-idx	Primary Wikipedia URL	title	URL-hi	question	model_id	output_text
10	114	https://zh.wikipedia.org/wiki/%E6%B3%A2%E8%A5%BF%E7%B8%A3_(%E5%8D%B0%E7%AC%AC%E5%AE%89%E7%B4%8D%E5%B7%9E)	波西縣 (印第安納州)	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8B%E0%A4%B8%E0%A5%80_%E0%A4%95%E0%A4%BE%E0%A4%89%E0%A4%82%E0%A4%9F%E0%A5%80,_%E0%A4%87%E0%A4%82%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%BE	पोसी काउंटी किस स्टेट में स्थित है?	nickmalhotra/ProjectIndus	पोसी काउंटी संयुक्त राज्य अमेरिका के मिनेसोटा राज्य में स्थित है।
11	120	https://zh.wikipedia.org/wiki/695%E5%B9%B4	695年	https://hi.wikipedia.org/wiki/695	695 किस कैलेंडर का वर्ष है?	meta-llama/Meta-Llama-3-8B-Instruct	695 है जूलियन कैलेंडर का वर्ष, जो कि 45वाँ वर्ष है जूलियन कैलेंडर के शुरुआत के बाद से ( anno Domini के शुरुआत के बाद से)।
12	142	https://zh.wikipedia.org/wiki/Windows_Neptune	Windows Neptune	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%BE%E0%A4%87%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%8B%E0%A4%B8%E0%A5%89%E0%A4%AB%E0%A5%8D%E0%A4%9F_%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A8	माइक्रोसॉफ्ट नेपच्यून किस वर्ष में कार्यकारी स्थिति किया गया था ?	nickmalhotra/ProjectIndus	माइक्रोसॉफ्ट नेपच्यून २००१ में एक कार्यकारी स्थिति प्राप्त हुई थी ।
13	165	https://en.wikipedia.org/wiki/Bruce_Sterling	Bruce Sterling	https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8_%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A4%B0%E0%A5%8D%E0%A4%B2%E0%A4%BF%E0%A4%82%E0%A4%97	ब्रूस स्टर्लिंग का जन्म किस देश में हुआ था ?	meta-llama/Meta-Llama-3-8B-Instruct	ब्रूस स्टर्लिंग का जन्म स्कॉटलैंड में हुआ था।
14	172	https://fr.wikipedia.org/wiki/Johnny_Cash	Johnny Cash	https://hi.wikipedia.org/wiki/%E0%A4%9C%E0%A5%89%E0%A4%A8%E0%A5%80_%E0%A4%95%E0%A5%88%E0%A4%B6	जॉनी कैश की मृत्यु किस वजह से हुई थी ?	nickmalhotra/ProjectIndus	"जॉनी कैश की मृत्यु १९७५ में हुई थी. उन्हें उनकी फिल्म ""द मैन हू वुड हैव टू डाई"" में उनकी भूमिका के लिए जाना जाता था।"
15	177	https://en.wikipedia.org/wiki/Takara	Takara	https://hi.wikipedia.org/wiki/%E0%A4%9F%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%BE	टकारा कंपनी लिमिटेड का आधिकारिक समापन क्यों हुआ ?	nickmalhotra/ProjectIndus	टकारा कंपनी लिमिटेड का आधिकारिक समापन १९३९ में हुआ था. यह भारत में एक निजी लिमिटेड कंपनी थी जिसका गठन १९३९ में भारतीय राष्ट्रीय कांग्रेस (आई. एन. सी.) के समर्थन से हुआ था। यह भारत में एक निजी लिमिटेड कंपनी थी जिसका गठन १९३९ में भारतीय राष्ट्रीय कांग्रेस (आई. एन. सी.) के समर्थन से हुआ था। टकारा कंपनी लिमिटेड का गठन १९३९ में भारतीय राष्ट्रीय कांग्रेस (आई. एन. सी.) के समर्थन से हुआ था और इसका मुख्यालय नई दिल्ली में स्थित था।
16	179	https://fr.wikipedia.org/wiki/14_octobre	14 octobre	https://hi.wikipedia.org/wiki/%E0%A5%A7%E0%A5%AA_%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%9F%E0%A5%82%E0%A4%AC%E0%A4%B0	रजिया सुल्तान का निधन कब हुआ था ?	nickmalhotra/ProjectIndus	रजिया सुल्तान का निधन १४ जून, १६१९ को हुआ था ।
17	211	https://zh.wikipedia.org/wiki/%E5%A4%96%E4%BA%A4%E4%BB%A3%E8%A1%A8%E6%A9%9F%E6%A7%8B	外交代表機構	https://hi.wikipedia.org/wiki/%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A4%A8%E0%A4%AF%E0%A4%BF%E0%A4%95_%E0%A4%AE%E0%A4%BF%E0%A4%B6%E0%A4%A8	 वियाना कन्वेन्शन किस तारीख को प्रभावित  हुआ था ?	nickmalhotra/ProjectIndus	वियाना कन्वेन्शन १८७९ में हुआ था ।
18	254	https://sv.wikipedia.org/wiki/C%C3%B3rdobaemiratet	Córdobaemiratet	https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A5%8B%E0%A4%AC%E0%A4%BE_%E0%A4%96%E0%A4%BF%E0%A4%B2%E0%A4%BE%E0%A4%AB%E0%A4%A4	कोर्डोबा खिलाफत को किस वंश ने राज किया था ?	nickmalhotra/ProjectIndus	कोर्डोबा खिलाफत को अलेक्जेंडर सेवेरस द्वितीय ने स्थापित किया था।
19	279	https://zh.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E5%9B%BD%E9%99%85%E8%B1%A1%E6%A3%8B%E8%81%94%E5%90%88%E4%BC%9A	世界国际象棋联合会	https://hi.wikipedia.org/wiki/%E0%A4%AB%E0%A4%BE%E0%A4%87%E0%A4%A1	अंतर्राष्ट्रीय शतरंज संघ की स्थापना कितने वर्ष पूर्व हुई थी?	nickmalhotra/ProjectIndus	इंटरनेशनल शतरंज संघ (इस्को) की स्थापना १८ अप्रैल १९०२ को हुई थी।
20	311	https://zh.wikipedia.org/wiki/%E5%90%89%E5%88%97%E4%BD%93%E8%82%B2%E5%9C%BA	吉列体育场	https://hi.wikipedia.org/wiki/%E0%A4%9C%E0%A4%BF%E0%A4%B2%E0%A5%87%E0%A4%9F_%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%AE	जिलेट स्टेडियम में कितने दर्शको की क्षमता है ?	nickmalhotra/ProjectIndus	जिलेट स्टेडियम में कुल दर्शकों की संख्या लगभग १०,००० है।
21	342	https://sv.wikipedia.org/wiki/Daler_Mehndi	Daler Mehndi	https://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A4%B2%E0%A5%87%E0%A4%B0_%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%B9%E0%A4%A6%E0%A5%80	दलेर मेंहदी पर कानूनी कारवाही किस वजह से हुई थी ?	nickmalhotra/ProjectIndus	दलेर मेंहदी पर १९९८ में एक गायिका को गाली देने और मारपीट करने का आरोप लगाया गया था। उन पर भारतीय दंड संहिता की धारा ३२३, ३२४ और ५०६ के तहत मामला दर्ज किया गया था। उन्हें गिरफ्तार किया गया और जमानत पर रिहा कर दिया गया, लेकिन बाद में उन्हें जमानत दे दी गई। उन्हें बाद में पंजाब और हरियाणा उच्च न्यायालय से जमानत मिल गई।
22	361	https://zh.wikipedia.org/wiki/%E5%B8%9D%E5%9B%BD	帝国	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF	भारत के  सबसे बडा साम्राज्य की सीमा का कितना छेत्र था ?	nickmalhotra/ProjectIndus	भारत के सबसे बडा साम्राज्य की सीमा का केवल एक क्षेत्र था ।
23	384	https://sv.wikipedia.org/wiki/Sagar	Sagar	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%97%E0%A4%B0,_%E0%A4%AE%E0%A4%A7%E0%A5%8D%E0%A4%AF_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A6%E0%A5%87%E0%A4%B6	मध्यप्रदेश का पहला विश्वविद्यालय कब स्थापित हुआ था  ?	nickmalhotra/ProjectIndus	मध्यप्रदेश का पहला विश्वविद्यालय १९४८ में स्थापित हुआ था।
24	397	https://sv.wikipedia.org/wiki/Farrukhabad	Farrukhabad	https://en.wikipedia.org/wiki/Farrukhabad_district	फ़र्रूख़ाबाद जिला कौन  से प्रसिद्ध कवित्री के लिए जाना जाता है ?	nickmalhotra/ProjectIndus	"फ़र्रूख़ाबाद जिला कवित्री के लिए जाना जाता है ""सुमित्रा नंदन पंत""।"
25	411	https://sv.wikipedia.org/wiki/Den_nikomachiska_etiken	Den nikomachiska etiken	https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%95%E0%A5%8B%E0%A4%AE%E0%A5%87%E0%A4%95%E0%A4%BF%E0%A4%AF%E0%A4%A8_%E0%A4%A8%E0%A5%80%E0%A4%A4%E0%A4%BF%E0%A4%B6%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0	निकोमेकियन नीतिशास्त्र में कितने उपखण्ड शामिल है ?	nickmalhotra/ProjectIndus	निकोमेकियन नीतिशास्त्र में तीन उपखण्ड शामिल हैंः 
26	414	https://zh.wikipedia.org/wiki/%E5%90%90%E9%B2%81%E7%95%AA%E5%B8%82	吐鲁番市	https://hi.wikipedia.org/wiki/%E0%A4%A4%E0%A5%81%E0%A4%B0%E0%A4%AB%E0%A4%BC%E0%A4%BE%E0%A4%A8	तुरफ़ान की  एमीन मीनार की ऊचाई कितनी है ?	nickmalhotra/ProjectIndus	तुर्फ़ान मे एमीन मीनार (ऊँचाई २८० मी.) की ऊचाई २८० मी. है।
27	441	https://zh.wikipedia.org/wiki/%E8%82%BA%E7%A7%BB%E6%A4%8D	肺移植	https://hi.wikipedia.org/wiki/%E0%A4%AB%E0%A5%87%E0%A4%AB%E0%A4%A1%E0%A4%BC%E0%A5%87_%E0%A4%95%E0%A4%BE_%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B0%E0%A5%8B%E0%A4%AA%E0%A4%A3	फेफड़े से जुड़ी पहली सफल प्रत्यारोपण सर्जरी किस डॉक्टर द्वारा और कब की गयी थी  ?	sarvamai/OpenHathi-7B-Hi-v0.1-Base	फेफड़े से जुड़ी पहली सफल प्रत्यारोपण सर्जरी किस डॉक्टर द्वारा और कब की गयी थी  ? Answer: --- फेफड़ों से जुड़े पहली सऊदी अरब के शल्य चिकित्सक डॉ. अब्दुल रहमान अल-असगर द्वारा 1980 में की गई थी।
28	454	https://en.wikipedia.org/wiki/Irrawaddy_River	Irrawaddy River	https://hi.wikipedia.org/wiki/%E0%A4%87%E0%A4%B0%E0%A4%BE%E0%A4%B5%E0%A4%A4%E0%A5%80_%E0%A4%A8%E0%A4%A6%E0%A5%80 	इरावती नदी का नाम किस हिन्दू देवी के पुत्र के नाम से जुड़ा हुआ है ?	nickmalhotra/ProjectIndus	इरावती नदी के नाम का रिश्ता भगवान शंकर के पुत्र कार्तिकेय से है ।
29	466	https://zh.wikipedia.org/wiki/%E5%8D%9A%E7%88%BE%E9%A6%AC%E9%87%8C%E7%83%8F%E5%B8%95%E9%BD%8A%E6%8B%89	博爾馬里烏帕齊拉	https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8B%E0%A4%AF%E0%A4%BC%E0%A4%BE%E0%A4%B2%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%80_%E0%A4%89%E0%A4%AA%E0%A4%9C%E0%A4%BC%E0%A4%BF%E0%A4%B2%E0%A4%BE	बोय़ालमारी उपज़िला में इस्लाम के अनुयाई आबादी औसतन कितने प्रतिशत है ?	nickmalhotra/ProjectIndus	बोय़ालमारी उपज़िला में इस्लाम के अनुयाई आबादी लगभग ९ प्रतिशत है।
30	471	https://zh.wikipedia.org/wiki/%E6%95%98%E5%88%A9%E4%BA%9E%E5%9F%BA%E7%9D%A3%E6%95%99	敘利亞基督教	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%80%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%88_%E0%A4%88%E0%A4%B8%E0%A4%BE%E0%A4%88	सीरियाई ईसाई द्वारा प्रयोग की गयी भाषा किस भाषा की उपभाषा है ?	nickmalhotra/ProjectIndus	सीरियाई ईसाई द्वारा प्रयोग की जाने वाली भाषा अरबी भाषा है।
31	491	https://fr.wikipedia.org/wiki/Cirrostratus	Cirrostratus	https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%E0%A4%AD_%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80_%E0%A4%AC%E0%A4%BE%E0%A4%A6%E0%A4%B2	पक्षाभ स्तरी  आमतौर पर कितने ऊचाई पर स्थित होता है ?	nickmalhotra/ProjectIndus	पक्षाभ स्तरी आमतौर पर लगभग १०० से २०० मीटर तक ऊचाई पर स्थित होता है ।
32	497	https://zh.wikipedia.org/wiki/%E5%88%86%E5%AD%90%E7%94%9F%E7%89%A9%E5%AD%A6	分子生物学	https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%A3%E0%A5%81%E0%A4%9C%E0%A5%88%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A5%80	अणुजैविकी शब्द का गढन किस वैज्ञानिक ने किया था ?	nickmalhotra/ProjectIndus	अणुजैविकी शब्द का गढन जॉन डाल्टन ने किया था।
33	500	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%A8%E0%A4%BE%E0%A4%AC	मीनाब	https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%A8%E0%A4%BE%E0%A4%AC	मीनाब शहर कौन से प्रान्त में आता है ?	nickmalhotra/ProjectIndus	मीनाब शहर पाल्क खाड़ी के मुहाने पर स्थित है।
34	501	https://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D8%A8%D9%88_%D8%A5%D9%8A%D9%85%D8%A8%D9%8A%D9%83%D9%8A	تابو إيمبيكي	https://hi.wikipedia.org/wiki/%E0%A4%A5%E0%A4%BE%E0%A4%AC%E0%A5%8B_%E0%A4%AE%E0%A5%8D%E0%A4%B5%E0%A5%82%E0%A4%AF%E0%A5%87%E0%A4%B2%E0%A4%B5%E0%A4%BE_%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A5%87%E0%A4%95%E0%A5%80	दक्षिण अफ़्रीका के दूसरे राष्ट्रपति कौन है  ?	meta-llama/Meta-Llama-3-8B-Instruct	दक्षिण अफ़्रीका के दूसरे राष्ट्रपति थे चार्ल्स रोल्फ मैंगेर्स। वह 1985 से 1994 तक राष्ट्रपति रहे।
35	503	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%88%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%8B_%E0%A4%95%E0%A4%BF%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B8	सैक्रामेंटो किंग्स	https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%88%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%8B_%E0%A4%95%E0%A4%BF%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B8	सैक्रामेंटो किंग्स के मालिक कौन है ?	nickmalhotra/ProjectIndus	सैक्रामेंटो किंग्स के मालिक जेरी ब्राउन हैं।
36	506	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A4%BE_%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE	ला ल्लोरोना	https://hi.wikipedia.org/wiki/%E0%A4%B2%E0%A4%BE_%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE	ला ल्लोरोना की कथा किन देशो में प्रसिद्ध  है ?	nickmalhotra/ProjectIndus	ला ल्लरोना इटली की राष्ट्रीय फुटबॉल टीम के खिलाडीयो की एक ऐसी टीम है जो विभिन्न देशो में प्रसिद्ध है ।
37	508	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%82%E0%A4%88%E0%A4%8F%E0%A4%AB%E0%A4%8F_%E0%A4%AF%E0%A5%82%E0%A4%B0%E0%A5%8B%E0%A4%AA%E0%A4%BE_%E0%A4%B2%E0%A5%80%E0%A4%97	यूईएफए यूरोपा लीग	https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%82%E0%A4%88%E0%A4%8F%E0%A4%AB%E0%A4%8F_%E0%A4%AF%E0%A5%82%E0%A4%B0%E0%A5%8B%E0%A4%AA%E0%A4%BE_%E0%A4%B2%E0%A5%80%E0%A4%97	यूईएफए यूरोपा लीग में आज तक की सबसे सफल क्लब ने कितनी बार खिताब जीता है ?	nickmalhotra/ProjectIndus	यूईएफए यूरोपा लीग में आज तक की सबसे सफल क्लब ने कुल १२ बार खिताब जीता है।
