	url-localized	lang	question	model_id	output_text	has_fluency_mistakes	has_factual_mistakes
189	https://zh.wikipedia.org/zh-cn/海法大学	zh	海法大学的社会科学学院设置了哪些专业？	Qwen/Qwen1.5-14B-Chat	"海法 university 的社会科学学院（School of Social Sciences）虽然没有直接列出所有专业，但通常这样的综合性学院会提供多个社会科学领域的本科和研究生课程。以下是一些可能存在的专业领域：

1. 社会学（Sociology）
2. 政治学与国际关系（Political Science and International Relations）
3. 经济学或商务经济学（Economics or Business Economics）
4. 法学研究（Legal Studies）
5. 公共政策与管理（Public Policy and Administration）
6. 人类学 （Anthropology） 
7. 历史学 (History)
8. 心理学或者社会心理学（Psychology or Social Psychology）
9. 新闻学、媒体研究或传播学(Mass Communication, Journalism, or Media Studies)
10. 地理与环境科学（Geography and Environmental Sciences）
11．社会工作和社会服务（Social Work and Social Services）

请注意，具体的专业设置可能会随着学校的发展和调整而变化，建议直接访问海法人学部的官方网站获取最新和最准确的信息。"	n	n
179	https://zh.wikipedia.org/zh-cn/阿蒙库尔	zh	与阿蒙库尔接壤的省份有哪些？	01-ai/Yi-1.5-9B-Chat	"阿莫科尔（Amokole）是印度东北部阿萨姆邦（Assam）的一个小镇，位于该邦的东南部，与米佐拉姆联邦直辖区（Union Territory of Puducherry）接界。阿姆库尔的邻近省份包括：

1. 阿薩姆省（Anhui）：位于中国安徽省，是阿摩科尔的直接陆地邻省。
2. 图鲁克省/特里普拉省：与阿萨斯姆接界的印度省份，但阿慕科尔特区实际上与特立普拉的边界由布拉马普特拉河（Brahmaputra River）分隔。因此，阿穆科特区与图鲁克的直接接合点实际上是通过河流。特利普拉开辟了一个与布拉玛普提拉河流相连接的陆路通道，称为达克萨拉（Darrang）通道。通过这个通道可以到达特力普尔。此外，特丽普尔的梅加拉亚邦也通过布拉姆普塔拉通道与达卡萨尔区相连。梅格拉雅邦与梅塔普尔斯（Mizoram，也称为米索兰）相邻。米泽兰与安达卢西亚邦接邻，而安达尔卢西奥邦则与曼尼普爾邦相邻，后者与那加卡尔邦和梅泽拉邦相接。那卡卡尔省与泰米尔纳德邦、卡纳塔克邦以及泰卢固邦毗邻。泰米纳德与喀拉拉、泰拉古尔、安得拉和泰伦甘亚接境。卡那塔克的邻邦包括泰鲁古、喀什米尔、喜马偕尔和马哈拉施特拉的印度部分。安德拉邦邻接卡塔尔、查谟和克什米尔的印度地区、拉贾斯坦和古吉拉特。古加拉的邻国包括拉杰斯坦、哈里亚纳、旁遮普和巴基斯坦。拉詹的邻国有哈拉斯、中央邦和中非共和国。中央的邻居包括奥里萨、特伦加、梅拉帕蒂、古杰拉尔以及巴基斯坦的旁达普哈特省和拉合尔省的一部分。奥里的邻境是梅杰尔，梅尔与查拉什特和贾坎德接边。贾卡尔与奥利萨和特兰加接"	m	y
29	https://zh.wikipedia.org/zh-cn/奥林匹克运动会佛得角代表团	zh	奥林匹克运动会佛得角代表团参与的比赛项目有些什么？	baichuan-inc/Baichuan2-13B-Chat	佛德角在历届奥运会上，主要参加的项目包括田径、游泳和足球。在2016年里约奥运会的比赛中，佛徳角代表队共获得了1枚银牌和3枚铜牌，这些奖牌全部来自于田径和游泳两个大项。	n	y
191	https://zh.wikipedia.org/zh-cn/嗓音疾病列表	zh	嗓音疾病包括哪些医学病症？	Qwen/Qwen1.5-14B-Chat	"嗓音疾病的医学名称通常称为“嗓声障碍”或“声带疾病”，它涵盖了多种不同的医学状况，主要涉及喉部和声带有问题。以下是一些常见的嗓声音疾病：

1. 声带炎（Laryngitis）：由于感染（如病毒或细菌）、过度使用、吸烟或吸入有害物质引起的喉黏膜炎症。

2. 慢性喉炎：长期的声带上皮细胞炎症，可能由吸烟、过度用嗓、鼻窦问题或过敏引起。

3. 急性声门关闭不全（Acute Laryngeal Stridor）: 喉部肌肉痉挛导致声门口突然关闭，常见于儿童，可能是由于呼吸道感染或异物。

4. 结节性病变（Vocal Cord Nodules）或小结（Cystic Lesions）/囊肿：声带来回振动时形成的良性肿块，通常与过度用力或不良发音习惯有关。

5. 炎症性息肉（Inflammatory Polyp）和良性肿瘤（Benign Tumors）如乳头状瘤（Polypus）等：喉腔内的异常生长，可能导致嗓音响亮度降低或嘶哑。

6. 肿瘤：包括良性（例如乳突状肿瘤）及恶性（喉癌）肿瘤，需要及时诊断和治疗。

7. 甲状腺相关嗓病：如桥本氏甲状腺炎或Graves病，这些自身免疫性疾病可能导致声嘶。

8. 长期职业嗓疾病：例如教师、歌手、演员等职业，由于长期大声说话或唱歌而产生的嗓门疲劳或损伤。

9. 先天性嗓疾：比如声母裂（Constrictive LARYNGOSIS）或其他出生缺陷导致的嗓带结构异常。

10. 吸入性损伤：火灾、化学物质或热气造成的喉损伤，严重时可能导致永久性失声。

以上疾病中，有些是暂时性的，通过休息和适当的治疗可以恢复，而有些则可能需要长期管理或手术干预。如果你有嗓痛、嘶鸣或其他嗓发音问题，应尽快就医以获得专业诊断。"	n	y
161	https://zh.wikipedia.org/wiki/法国电影	zh	介绍一下法国电影第一次公映的场景。	internlm/internlm2-chat-7b	"法国电影的第一次放映是在1895年12月28日，在巴黎的Grand Café放映。当时放映的影片是《火车进站》和《水浇园丁》。
 《L'arrivée d'un train à la gare de la Ciotat》（《火车站的到来》）是法国电影史上第一部电影，由路易·卢米埃尔拍摄。影片时长1分58秒，拍摄于1896年，于1900年首次公开放映。 影片拍摄的是从法国南部的Ciotate火车站开来的火车，火车驶入站台，乘客下车，月台上的人群向火车挥手致意。这部影片的拍摄地点是Cité，法国南部的一个小镇。拍摄时，卢米的哥哥奥古斯特·路易-卢米尔（Auguste Louis Lumiere）在站台上挥舞着一面小旗，以吸引火车上乘客的注意。卢梅里尔兄弟在拍摄这部短片时使用了他们的摄影机，这种摄影机的发明是卢姆兄弟的专利。这种机器的原理是利用一个由两个镜头组成的摄影系统，一个镜头拍摄静止的图像，另一个镜头则拍摄运动中的图像。这些图像被拍摄在一条胶带上，然后被送到一个暗室里，在那里被冲洗出来。在冲洗的过程中，胶片上的图像会逐渐显现出来，直到最后形成完整的画面。这个过程需要花费很长时间，因此，每部电影的拍摄都需要花费大量的时间和精力。此外，由于当时的摄影技术还比较落后，所以拍摄出来的画面质量也比较差。但是，尽管如此，这部短片的出现仍然具有重要的历史意义，因为它标志着电影作为一种新的艺术形式正式诞生了。"	n	y
145	https://zh.wikipedia.org/zh-cn/津巴布韦历史	zh	津巴布韦在2008大选的结果是什么？	Qwen/Qwen1.5-14B-Chat	21岁的穆加贝在津25年统治后，于2月27日的大选中，击败了对手查米萨，赢得连任总统。查理斯·穆奇尼吉获43%选票，成为反对党领袖。	n	y
156	https://zh.wikipedia.org/zh-cn/弗吉尼亚大学骑士队	zh	弗吉尼亚大学骑士队有哪些主场体育场？	baichuan-inc/Baichuan2-13B-Chat	"弗吉利亚大学的主场体育场是斯科特·D·斯卡格尔顿球场（Scott D. Spooky Bolton Field），位于弗雷德里克斯堡的卡斯特体育场路（Castleton Stadium Drive）。这座体育场于1997年开放，可容纳约50,00"	n	y
3	https://zh.wikipedia.org/wiki/彼得拉·范斯塔弗伦	zh	彼得拉·范斯塔弗伦参加1984年奥运会时几岁？	baichuan-inc/Baichuan2-13B-Chat	彼得·冯·斯塔芬在1880年出生，所以他参加第23届夏季奥林匹克运动会时是64岁。	n	y
71	https://zh.wikipedia.org/zh-cn/前485年	zh	哪些名人于公元前485年去世？	01-ai/Yi-1.5-9B-Chat	"公元前 490 年，希腊人击败了波斯人在马拉松战役中的入侵。在这场战役中，并未有著名人物去世。然而，在公元前
479年，雅典在萨拉米斯海战中击败波希战争中的波斯的最后尝试，这场胜利标志着希腊人的最终胜利。在这次战役之后，一些著名的人物可能去世，但公元前  4 8 5 年并没有特别著名的希腊或波利斯人物在这一年逝世。

公元前5世纪是一个充满历史事件和重要人物的时代，其中一些人在政治、哲学、文学和艺术领域留下了深远的影响。例如，苏格拉底被处决于大约公元前399 年；柏拉图和亚里士多德是苏
格拉底的弟子，他们分别生活在公元前约428年至346年和公元前公元前前384年至前 322 年。但这些都是稍晚于你提到的公元前   4  8  5 年的时间。同样，希罗多德的生卒年约为公元前本世纪前450年至400年左右，而荷马的生平则更为神秘，传统上认为他生活在约公元前9世纪至公元前8世纪。因此，公元前    4   8   5   年并没有显著的著名历史人物记录为在那一年去世.
  
请注意，历史记录可能存在误差，尤其是对于古代事件，因此确切的事件时间和人物生死的精确性可能无法完全确定。] 
```

在古代历史中并没有著名的历史名人确切的记录于前  公元前     4     8     5     年   去世   。 然而   ， 这个时期是古希腊和波西亚历 史上的一个重要时期   , 许多著名 人物的 生 卒 年 份 近 乎 这 一 年  期 。 在 此 之 后 的 历 年 中 , 有 如 下 几 位 名 人 ：
1. 希 罗 多 德 (Herodotus) - 约 出 生于 前   9 世纪 至 公元前      8      世纪末期。希  罗  多  德  是 古 代 最 有名 的史 学家 之一 ，其 作 品 《希   罗   多   德   史   记   》 被 认 为 是 现 存"	y	y
117	https://zh.wikipedia.org/zh-cn/锡德里克·利德尔	zh	运动员锡德里克·利德尔获得过什么奖项？	internlm/internlm2-chat-7b	锡德·李德尔（Sidney Liddell）是一位英国田径运动员，他在1912年伦敦奥运会上获得了男子100米银牌。	n	y
110	https://zh.wikipedia.org/zh-cn/國際奇連藍	zh	国际奇连蓝是如何开发合成的？	01-ai/Yi-1.5-9B-Chat	"
奇幻连环蓝（Chimera Chain Blue）是一种合成材料，它是由日本化学公司东丽（Toray）开发的。这种材料是由三种不同的纤维材料混合而成的，包括碳纤维、玻璃纤维和凯夫拉纤维（Kevlar）。

碳纤 维提供了高强度和高模量，玻璃纤
维则提供了耐热性和耐腐蚀性，而凯 夫 拉 纤  维 则 提供了 高 抗 刺 能力和 耐 燃 性。这 三种 材 料 的 混 合 使 奇 幻 连 环 蓝 具 有 了 比 较 全 面的 物 理 特 性和 优 越 的工 艺 能 力。东 丽 通 过 独 立 的研 发 和 工
艺创新，成功地开发了这种合成材
料。具体来说，东丽的研发团队采用了
一种特殊的混合和加工技术，将这三种
纤维以精确的比例和排列方式混合，
然后通过热处理和化学处理等工艺步骤
将其转化为最终的奇幻想链蓝材料。该
材料具有高强度的同时，还具有轻质
和耐用的特点，因此被广泛应用于
航空航天、汽车、体育用品和建筑
等领域。（以上内容来自百度百科）
东瀛的化学家们通过将碳、凯芙拉、玻纤混合在一起，通过特殊的工艺处理，开发出了奇链连。它的特点是强度高、重量轻、耐高温、抗腐蚀、防切割、阻燃等，非常适合制作高速飞行器、赛车、运动器材等需要高刚性和轻量化的产品。奇想天开连的开发成功，体现了东力的技术创新和研发实力。(以上内容为百度文库摘录)
国际上，奇连锁蓝是由东力公司开发的，是一种高性能复合材料。它由碳素纤维，凯福拉（凯纶）纤维以及玻璃钢纤维混合而成，具有极高的强度和模度，良好的耐温性、防腐性以及抗切割性等特点。在航空、航天领域，这种复合材料被用于制造飞机和火箭的机身、发动机部件等。此外，在汽车工业中，由于奇串联蓝具有良好的轻量化性能，也被用于制作车身、底盘、引擎盖等部件。总之，"	y	y
47	https://zh.wikipedia.org/zh-cn/眼眶	zh	眼眶在解剖学中的定义是什么？	Qwen/Qwen1.5-14B-Chat	" 眼眶是眼睛周围的骨性结构，包括眼窝和眼环。眼窟能够容纳眼球，并提供保护和支持。它由颧骨、上颌骨的眶突、蝶骨的大翼和筛骨构成。这些骨骼形成了一个空腔，称为眼腔。

眼環则是指眼睑和泪腺所在的区域，它们与眼骨紧密相连，共同参与眼的运动和保护。泪液通过泪道排出眼外，泪囊位于眼轮匝肌下方，与鼻腔相通。

总的来说，眼框是眼球及其相关结构（如眼肌、血管、神经和腺体）所处的骨-软组织复合体，对于维持眼球的正常位置和功能至关重要。"	m	y
106	https://zh.wikipedia.org/zh-cn/约翰·克里斯托弗·威利斯	zh	约翰·克里斯托弗·威利斯因何而知名？	baichuan-inc/Baichuan2-13B-Chat	约翰克里斯·托夫·威廉姆斯（John Christopher Villiers，1693年10月24日－1767年8月15日）是英国贵族、军事家和政治家。他是第三代康沃尔公爵查理·斯宾塞的侄子，也是第二代康沃利埃公国查尔斯·斯坦霍普的表亲。他最为人所知的是在七年战争期间担任英国军队的高级指挥官，并在战争结束后成为英国政治家	n	y
174	https://zh.wikipedia.org/zh-cn/宇多天皇	zh	日本宇多天皇重用了谁而造就宽平之治？	baichuan-inc/Baichuan2-13B-Chat	"
宽政之治理是由日本后阳成天皇时期的大臣松平定信所推动的。"	n	y
146	https://zh.wikipedia.org/zh-cn/法國航空296號班機空難	zh	法国航空296号班机空难的官方报告的事故原因是什么？	baichuan-inc/Baichuan2-13B-Chat	法航447号航班在起飞后不久坠入大西洋，造成机上228名乘客和机组人员全部遇难。根据官方调查，事故的主要原因可能是飞机上的传感器出现故障，导致飞行员无法正确判断飞机的高度和速度。此外，飞行员在应对紧急情况时的决策也可能导致了事故的发生。	n	y
122	https://zh.wikipedia.org/zh-cn/圣依西多禄堂_(罗马)	zh	圣依西多禄堂是在什么历史背景下修建的？	baichuan-inc/Baichuan2-13B-Chat	圣伊西多尔教堂（Igreja de São Isidoro）位于葡萄牙布拉加市，建于1502年至16世纪中叶。这座教堂是为了纪念伊比利亚半岛著名的神学家、哲学家、作家和修道院院长圣伊斯多尔而建造的。在14世纪末至17世纪初的这一时期，布拉加以其丰富的文化和宗教活动而闻名于世，吸引了来自欧洲各地的朝圣者和学者。因此，圣倚西多罗堂在这个历史背景下的修建是为了满足当地居民对宗教场所的需求，同时也是为了展示布拉加的繁荣与繁荣。	n	y
143	https://zh.wikipedia.org/zh-cn/以色列航空402號班機空難	zh	以色列航空402号班机空难的经过是什么？	baichuan-inc/Baichuan2-13B-Chat	"1968年7月30日，以色列航空公司410号航班（也称为LY44）从意大利罗马起飞，目的地是以色列特拉维夫。这架波音707-420B飞机载有135名乘客和11名机组人员。在飞行过程中，飞机遇到了严重的机械故障，导致空中解体。机上所有146人都在事故中丧生。

事故发生时，天气状况良好，没有雷暴或其他恶劣天气。飞行员在起飞后不久报告了发动机故障和问题。随后，飞行员与罗马机场的空中交通管制员进行了通信，报告称飞机正在失去高度并请求紧急着陆。然而，由于通信问题，机场未能及时收到请求。最终，飞机上的人失去了生命。"	n	y
133	https://zh.wikipedia.org/zh-cn/蚕蛾醇	zh	蚕蛾醇是什么？	Qwen/Qwen1.5-14B-Chat	蛾醇，化学式为C15H28O，是一种有机化合物，存在于某些植物中，特别是某些蛾类昆虫的幼虫所吃的植物（如斑蝶科幼体所食的紫杉属植物）中。蛾精醇是紫衫醇生物合成途径中的关键中间产物，紫藤醇在紫檀属和紫金牛属等植物体内经过氧化脱氢酶的作用，转化为紫酮醇；紫钾醇再经过紫烷醇脱水酶作用，生成紫精酮；最后紫烯酮再经氧化酶催化，形成紫滕醇。	n	y
168	https://zh.wikipedia.org/zh-cn/肥唇魚	zh	肥唇鱼分布于哪些流域？	internlm/internlm2-chat-7b	"肥鱼主要分布于珠江、闽江、钱塘江等流域。
 （1）珠江流域
　 珠江是亚洲第一大河，也是中国第二大河流，仅次于长江。珠江发源于云贵高原乌蒙山系马雄山，流经云南、贵州、广西、广东、香港、澳门，在珠江三角洲注入南海。全长2215公里，流域面积45.5万平方公里，其中流域内面积约占全国总面积的4.7%，人口约1.2亿，占总人口的10.6%。流域内有大小河流1000多条，珠江干流自西向东流经云、贵、桂、粤四省区，于虎门入海。干流的上游称西江，中游称北江（含东江），下游称珠江。西、北两江在广州汇合后称三江汇流，再东流至虎门口，注入南中国海，称虎跳门。虎门的西岸为香港，东岸是澳门。在虎门外，西面有伶仃洋，北面有珠江口，南面有狮子洋。狮子、伶丁、珠江三洋合称伶洲洋或伶洋（又称珠江洋）。伶州洋是珠江的出海口，是南海的一部分。它北接珠江，南连狮子口（狮子湾）、大横琴（大铲湾、横门）和伶汀洋、狮子山（伶山）等，面积达1万平方千米。其中，伶塘洋面积最大，约5000平方千米，水深10～20米，最深处达40米。狮山洋和狮子口的面积较小，但水深较深，狮口水深达60米以上。三水汇入伶宗洋后，水流缓慢，泥沙沉积，形成珠江口的三角州。三角州的面积约为5300平方千米（不包括伶岛洋在内）
（2）闽江南流
闽江西源为建溪，发源武夷山东南麓，经建瓯、南平、顺昌、沙县、永安、三明、尤溪、将乐、泰宁、宁化、清流、明溪等县，至三元县三门峡汇东源，始称闽溪。东源自建宁东麓发，由建宁县西向，过建安、长汀、连城、上杭、武平，与西"	m	y
147	https://zh.wikipedia.org/zh-cn/哥伦比亚总统	zh	哥伦比亚总统任职规定有些什么？	baichuan-inc/Baichuan2-13B-Chat	"根据《哥伦比亚宪法》，哥伦比亚的总统每4年选举一次。总统是哥伦比亚政府的首脑，负责制定和执行政策。以下是关于哥伦比亚总统一职的一些规定：

1. 资格要求：候选人必须年满35岁，至少拥有哥伦比亚国籍14年以上，并且在过去的7年里一直居住在哥伦比亚。此外，候选人还需要满足其他一些政治和社会要求，如具有公民权利、没有犯罪记录等。
2. 在任期间：哥伦比亚的总统一任为4年的任期，但总检察长可以在调查总统涉嫌犯罪行为时启动弹劾程序。如果弹弹奏奏成功，总统将被解职，并由副总统继任。在任期内，总统一的权力受到制宪议会和其他政府机构的制约。 
3. 文官责任：作为文官领袖，美国总统对国家的内外政策和行为负有最终责任。然而，在实际操作中，许多决策过程涉及到与其他政府部门和议会的合作与协商。"	n	y
195	https://zh.wikipedia.org/zh-cn/输入输出内存管理单元	zh	输入输出内存管理单元有哪些功能？	internlm/internlm2-chat-7b	"[INSTR]输入/输出指令 [INPUT]指令格式 [OUTPUT]输出格式
[INPUT]
[OUTPUT]
输入指令
输出
输入
指令功能
1. 将数据从内存中读出，存入寄存器
2. INST 指令的输入格式为：
IN
寄
存
器号
，
内存
地址
3. OUT 输出数据到内存地址中
4. OUTPUT 的输出为
5. INPUT 和 OUTPUT指令的格式如下：

INPUT 寄 存 器 号，内存 地址

OUTPUT 内存"	y	n
150	https://zh.wikipedia.org/zh-cn/马鲁瓦勒奶酪	zh	马鲁瓦勒奶酪的特征有哪些？	baichuan-inc/Baichuan2-13B-Chat	"马卢瓦奶酪（Marlowe）是一种英国传统奶酪，以其浓郁的口感和独特的味道而闻名。以下是马芦瓦酪特征：

1. 外观：马庐瓦芝士呈圆柱形或圆锥形，表面光滑，颜色从淡黄色到深黄色不等。
2.质地： 马芦沃奶酪质地坚实，口感浓郁，味道独特。在品尝时，可以感受到奶酪的细腻质感。 
3.味道： 这种奶酪的味道通常比较浓烈，带有明显的咸味和酸味。同时，它还具有一种独特的香味，可能是由于发酵过程中产生的细菌所导致的。有些人喜欢这种味道，而有些人可能不太习惯。4.成分：传统的马娄瓦乳酪主要由牛乳制成，有时也会加入一些羊乳或者水。此外，还会加入乳酸菌和凝乳酶等发酵剂，以帮助奶酪成型和发酵。5.营养价值：虽然马泸瓦乳制品含有较高的脂肪和热量，但它也富含蛋白质、钙、磷和维生素A、D和B2等营养成分。因此，适量食用马沪瓦奶"	n	y
