,URL-idx,title,Link in Arabic,AR questions
121,757.0,हेआन काल,,من هي العائلة التي سيطرت على السلطة خلال فترة هييآن؟
122,758.0,मागी,,ما هو المعنى اللغوي لكلمة موغ  كما وردت في نقوش بستون؟
123,763.0,१३८२,,في أي يوم من أيام الأسبوع بدأت سنة 1382 حسب التقويم اليولياني؟
178,406.0,Pentastomida,https://ar.wikipedia.org/wiki/خمساوات,"ماذا تعني كلمة ""Pentastomida""؟"
179,407.0,萨莫奈人,https://ar.wikipedia.org/wiki/سامنيت,ما هي اللغة التي كان يتحدث بها السامنيت؟
180,410.0,Ernest Cole (photographer),https://ar.wikipedia.org/wiki/إرنست_كول_(مصور),ما هو مجال تخصص إرنست كول؟
183,415.0,布雷萨纳博塔罗内,https://ar.wikipedia.org/wiki/بريسانا_بوتارون_(بافيا),في أي إقليم إيطالي تقع بلدة بريسانا بوتارون؟
184,417.0,Villar San Costanzo,https://ar.wikipedia.org/wiki/فيلار_سان_كوستانزو,في أي منطقة إيطالية تقع بلدية فيلار سان كوستانزو؟
188,425.0,Everton LFC,https://ar.wikipedia.org/wiki/نادي_إيفرتون_للسيدات,ما هو النادي الرئيسي الذي يتبع له نادي إيفرتون للسيدات؟
196,435.0,"Port Wentworth, Georgia",https://ar.wikipedia.org/wiki/بورت_وينتورث,في أي مقاطعة تقع مدينة بورت وينتورث؟
197,436.0,Vilvorde,https://ar.wikipedia.org/wiki/فيلفورد,كم عدد الأعضاء الناطقين بالفرنسية في المجلس المحلي لفيلفورد؟
200,439.0,Seimu,https://ar.wikipedia.org/wiki/الإمبراطور_سيمو,ما هو ترتيب الإمبراطور سيمو في قائمة أباطرة اليابان؟
201,440.0,Tobias Karlsson (handballer),https://ar.wikipedia.org/wiki/توبياس_كارلسون_(كرة_يد),في أي سنة شارك توبياس كارلسون في دورة الألعاب الأولمبية الصيفية لأول مرة؟
202,441.0,Fjällglim,https://ar.wikipedia.org/wiki/عشبة_الذباب,ما هي العائلة النباتية التي تنتمي إليها عشبة الذُّبَاب؟
203,442.0,Britney,https://ar.wikipedia.org/wiki/بريتني_(ألبوم),"كم عدد الأغاني التي شاركت بريتني سبيرز في كتابتها في ألبوم ""بريتني""؟"
204,444.0,"Manly, Iowa",https://ar.wikipedia.org/wiki/مانلي,ما هو التركيب العرقي السائد في مانلي حسب تعداد عام 2010؟
205,445.0,伊斯特拉半岛,https://ar.wikipedia.org/wiki/إستريا,ما هي أكبر مدينة في شبه جزيرة إستريا؟
206,448.0,Hornbach (ville),https://ar.wikipedia.org/wiki/هورنباخ,ما هي الدولة المجاورة لبلدة هُرنبَخ؟
208,455.0,新堡-旧城,https://ar.wikipedia.org/wiki/شاتونوف_فيلفياي,كم يبلغ ارتفاع بلدية شاتونوف فيلفياي عن سطح البحر؟
214,474.0,"Douglas County, Georgia",https://ar.wikipedia.org/wiki/مقاطعة_دوغلاس_(جورجيا),في أي ولاية أمريكية توجد مقاطعة دوغلاس؟
215,477.0,汉内斯·霍尔姆,https://ar.wikipedia.org/wiki/هاينس_هولم,أين وُلد هاينس هولم؟
216,478.0,Entomobrya,https://ar.wikipedia.org/wiki/أشينة,ما هو الاسم العلمي لجنس الأشينة؟
218,481.0,1994年北岭地震,https://ar.wikipedia.org/wiki/زلزال_نورثريدج_1994,أين كان مركز زلزال نورثريدج؟
220,485.0,阿曼达秀,https://ar.wikipedia.org/wiki/برنامج_أماندا,من هو منتج برنامج أماندا؟
221,486.0,Condette,https://ar.wikipedia.org/wiki/كونديتي,من هو رئيس بلدية ونديتي خلال الفترة من 2008 إلى 2014؟
225,494.0,Róger Guedes,https://ar.wikipedia.org/wiki/روجر_غيديس,في أي مركز يلعب روجر غيديس؟
226,495.0,186年,https://ar.wikipedia.org/wiki/186,في أي يوم من الأسبوع بدأت سنة 186 ميلادية؟
497,760.0,८३०,,في أي يوم من أيام الأسبوع بدأت سنة 830 م حسب التقويم اليولياني؟
506,83.0,Fortescue (Missouri),https://ar.wikipedia.org/wiki/فورتسكيو_(ميزوري),ما هو ارتفاع فورتسكيو عن سطح البحر؟
517,132.0,"Swea City, Iowa",https://ar.wikipedia.org/wiki/سوا_سيتي,في أي ولاية تقع مدينة سوا سيتي؟
526,211.0,Manteo,https://ar.wikipedia.org/wiki/مانتيو_(كارولاينا_الشمالية),كم بلغ عدد الأسر في مانتيو حسب تعداد عام 2010؟
529,229.0,Bee Train,https://ar.wikipedia.org/wiki/بي_تراين,أين يقع مقر ستوديو بي تراين؟
542,320.0,埃默莉·贝里格伦,https://ar.wikipedia.org/wiki/إميلي_بيرغرين,ما هي المهنة التي تمتهنها إميلي بيرغرين؟
543,328.0,Les Larmes d'un homme,https://ar.wikipedia.org/wiki/الرجل_الذي_بكى,"من هم أبطال الفيلم ""الرجل الذي بكى""؟"
544,331.0,查尔斯·卡米莱里,https://ar.wikipedia.org/wiki/تشارلز_كاميلري,ما هي جنسية تشارلز كاميلري؟
545,336.0,早年衰老症候群,https://ar.wikipedia.org/wiki/شيخوخة_مبكرة,من هو العالم الذي وصف حالة بروجيريا لأول مرة؟
546,340.0,Modern pentathlon,https://ar.wikipedia.org/wiki/الخماسي_الحديث,من ابتكر الخماسي الحديث في العصر الحديث؟
547,347.0,克利福德·沙尔,https://ar.wikipedia.org/wiki/كليفورد_شال,ما هو التخصص الذي حصل فيه كليفورد شال على درجة الدكتوراه؟
548,351.0,Monterchi,https://ar.wikipedia.org/wiki/مونتيركي,في أي مقاطعة تقع مونتيركي؟
549,357.0,军民两用,https://ar.wikipedia.org/wiki/استخدام_مزدوج,لماذا تخضع منتجات الاستخدام المزدوج لقوانين ورقابة خاصة؟
552,365.0,"Richard Layard, Baron Layard",https://ar.wikipedia.org/wiki/بيتر_ريتشارد,ما هي المبادرة التي أسسها بيتر ريتشارد ليارد في مجال الصحة العقلية؟
553,372.0,Occupation du Japon,https://ar.wikipedia.org/wiki/احتلال_اليابان,ما هي الدول التي احتلت اليابان بعد الحرب العالمية الثانية؟
554,373.0,瓦盧斯,https://ar.wikipedia.org/wiki/بوبليوس_كوينكتيليوس_فاروس,أين توفي بوبليوس كوينكتيليوس فاروس؟
555,377.0,泰塔溫省,https://ar.wikipedia.org/wiki/ولاية_تطاوين,ما هي المعتمديات الخمسة في ولاية تطاوين؟
556,378.0,Ethel Smyth,https://ar.wikipedia.org/wiki/إثيل_سميث,"ما هي الأوبرا التي اعتبرت ""أهم أوبرا إنجليزية أُلفت في الفترة بين بورسيل وبريتن""  من إثيل ماري سميث؟"
557,380.0,丹尼斯·波利亞科夫,https://ar.wikipedia.org/wiki/دينيس_بولياكوف_(لاعب_كرة_قدم),ما هو مركز اللعب الذي يشغله دينيس بولياكوف؟
558,383.0,Den tunna röda linjen,https://ar.wikipedia.org/wiki/الخط_الأحمر_الرفيع_(فيلم),"من هو مخرج وكاتب فيلم ""الخط الأحمر الرفيع""؟"
559,391.0,Tateyama,https://ar.wikipedia.org/wiki/تاته_ياما_(تشيبا),في أي ولاية تقع مدينة تاته ياما؟
560,408.0,Jaume Doménech,https://ar.wikipedia.org/wiki/خاومي_دومينيك,ما هو مركز خاومي دومينيك سانشيز في كرة القدم؟
561,414.0,美麗蹺佳人,https://ar.wikipedia.org/wiki/سويت_هوم_ألاباما,"متى صدر فيلم ""سويت هوم ألاباما""؟"
562,418.0,Đặng Thị Ngọc Thịnh,https://ar.wikipedia.org/wiki/دانغ_ثي_نجوك_ثينه,من كان رئيس فيتنام قبل دانغ ثي نجوك ثينه؟
563,422.0,Murero,https://ar.wikipedia.org/wiki/موريرو,أين تقع بلدية موريرو في إسبانيا؟
564,424.0,H-motor,https://ar.wikipedia.org/wiki/محرك_شكل_H,ما هو العيب الرئيسي لمحرك شكل H في سيارات السباق؟
565,431.0,杜坎纤食法,https://ar.wikipedia.org/wiki/رجيم_دوكان,كم مرحلة يتكون منها رجيم دوكان؟
566,446.0,Världsmästerskapen i taekwondo,https://ar.wikipedia.org/wiki/بطولة_العالم_للتايكوندو,كم مرة تعقد بطولة العالم للتايكوندو؟
567,450.0,Chun Jung-myung,https://ar.wikipedia.org/wiki/شان_جونغ_ميونغ,ما هي مهنة شان جونغ ميونغ؟
568,451.0,Benny Benassi,https://ar.wikipedia.org/wiki/بيني_بيناسي,ما هي مهنة ماركو بيناسي؟
569,460.0,罗特巴克,https://ar.wikipedia.org/wiki/روثباتش,من ترأس بلدية روثباتش خلال فترة 2001 - 2008؟
570,461.0,2018年中國大獎賽,https://ar.wikipedia.org/wiki/جائزة_الصين_الكبرى_2018,أين أقيم سباق جائزة الصين الكبرى 2018؟
571,464.0,宗座额我略大学,https://ar.wikipedia.org/wiki/الجامعة_الغريغورية_الحبرية,من أنشأ الجامعة الغريغورية الحبرية؟
572,466.0,德哈維蘭加拿大DHC-8,https://ar.wikipedia.org/wiki/بومباردييه_داش_8,من ينتج طائرة داش 8 حاليًا؟
573,467.0,Folding@home,https://ar.wikipedia.org/wiki/فولدنغ@هوم,من يدير مشروع فولدنغ@هوم حاليًا؟
574,470.0,PJAK,https://ar.wikipedia.org/wiki/حزب_الحياة_الحرة_الكردستاني,ما هو الهدف الرئيسي لحزب الحياة الحرة الكردستاني؟
575,471.0,41 (tal),https://ar.wikipedia.org/wiki/41_(عدد),ما هما العددان الأوليان التوأم المرتبطان بالعدد 41؟
576,482.0,尤里·加津斯基,https://ar.wikipedia.org/wiki/يوري_غازينسكي,مع أي نادي يلعب يوري غازينسكي؟
579,498.0,米莱托,https://ar.wikipedia.org/wiki/ميليتو,في أي إقليم تقع ميليتو؟
580,501.0,Mutoskop,https://ar.wikipedia.org/wiki/منظار_صامت,ما كانت شكاوى الصحف ضد المنظار الصامت؟
609,204.0,María Grever,https://ar.wikipedia.org/wiki/ماريا_غريفر,ما هو النوع الموسيقي الذي اشتهرت به ماريا غريفر؟
612,220.0,"Chichester, New Hampshire",https://ar.wikipedia.org/wiki/تشيتشيستر_(نيوهامشير),في أي مقاطعة تقع مدينة تشيتشيستر؟
615,237.0,(661) Clélie,https://ar.wikipedia.org/wiki/661_Cloelia,من هو مكتشف الكويكب 661 Cloelia؟
617,264.0,Speichersdorf,https://ar.wikipedia.org/wiki/شبايشرسدورف,إلى أي منطقة إدارية تتبع بلدة شبايشرسدورف؟
618,267.0,法瓦拉德拉里韦拉,https://ar.wikipedia.org/wiki/فوارة_(بلنسية),ما هي اللغة الرسمية في بلدة فوارة؟
620,277.0,Championnat d'Europe féminin de handball 2016,https://ar.wikipedia.org/wiki/بطولة_أوروبا_لكرة_اليد_للسيدات_2016,أي فريق فاز ببطولة أوروبا لكرة اليد للسيدات 2016؟
622,290.0,VinFast,https://ar.wikipedia.org/wiki/فين_فاست,أين يقع المقر الرئيسي لشركة فين فاست؟
624,294.0,Hugh Fraser,https://ar.wikipedia.org/wiki/هيو_فريزر,"ما هو الدور الشهير الذي قام به هيو فريزر في مسلسل ""أجاثا كريستي بوارو""؟"
625,299.0,Nina Curtis,https://ar.wikipedia.org/wiki/نينا_كورتيس,ما هو تخصص نينا كورتيس الرياضي؟
627,361.0,迷你红白机,https://ar.wikipedia.org/wiki/إن_إي_إس_كلاسيك_إديشن,ما هو الاسم الذي يُعرف به جهاز NES Classic Edition في اليابان؟
628,364.0,阿卜杜拉赫曼·阿里夫,https://ar.wikipedia.org/wiki/عبد_الرحمن_عارف,في أي حادث فقد عبد الرحمن عارف شقيقه عبد السلام عارف؟
629,367.0,Aesculus hippocastanum,https://ar.wikipedia.org/wiki/كستناء_الحصان,ما هو لون أزهار كستناء الحصان؟
630,409.0,罗萨里奥,https://ar.wikipedia.org/wiki/روساريو,ما هو اللاعب الشهير الذي ولد في روساريو عام 1987؟
631,462.0,Dissidia: Final Fantasy,https://ar.wikipedia.org/wiki/ديسيديا_فاينل_فانتسي,"ما هي المنصة التي أُطلقت عليها لعبة ""ديسيديا فاينل فانتسي""؟"
632,465.0,Gödöllő,https://ar.wikipedia.org/wiki/غودولو,في أي دولة تقع بلدة غودولو؟
633,475.0,Carlo Gozzi,https://ar.wikipedia.org/wiki/كارلو_غوتسي,"ما هو عنوان المذكرات التي كتبها كارلو غوتسي للدفاع عن نفسه بعد الفضيحة التي أثارتها مسرحية ""عقاقير الحب"" ؟"
634,476.0,Gordon Strachan,https://ar.wikipedia.org/wiki/غوردون_ستراكان,هل سجل غوردون ستراكان أي أهداف خلال فترته مع نادي كوفنتري سيتي؟
635,489.0,111 West 57th Street,https://ar.wikipedia.org/wiki/برج_ستاينواي,متى بدأ بناء برج ستاينواي؟
640,96.0,Sophie Nélisse,https://ar.wikipedia.org/wiki/صوفي_نيلسي,"ما هو الدور الذي جسدته صوفي نيلسي في فيلم ""سارقة الكتاب""؟"
645,138.0,理查德·沃恩·斯宾塞,https://ar.wikipedia.org/wiki/ريتشارد_في._سبنسر,ما هو الحزب السياسي الذي ينتمي إليه ريتشارد في. سبنسر؟
652,172.0,科克大学,https://ar.wikipedia.org/wiki/كلية_كورك_الجامعية,ما هو تخصص ألويس فليشمان في جامعة كورك؟
656,185.0,鵝蛋形,https://ar.wikipedia.org/wiki/بيضوي,ما هو الفرق بين الشكل البيضوي والقطع الناقص؟
661,203.0,Lil Dagover,https://ar.wikipedia.org/wiki/ليل_داغوفر,في أي مدينة توفيت ليل داغوفر؟
664,222.0,Âge d'or danois,https://ar.wikipedia.org/wiki/العصر_الذهبي_الدنماركي,ما هي الأنماط المعمارية التي تطورت في الدنمارك خلال العصر الذهبي؟
666,226.0,格羅寧根博物館,https://ar.wikipedia.org/wiki/متحف_غرونينغن,ما هو مصدر التمويل الأساسي لبناء متحف غرونينغن الجديد؟
667,228.0,Feng Kai,https://ar.wikipedia.org/wiki/فينغ_كاي,ما هو تخصص فينغ كاي الرياضي؟
675,279.0,马克·沃纳,https://ar.wikipedia.org/wiki/مارك_وارنر_(سياسي),ما هو الحزب السياسي الذي ينتمي إليه مارك وارنر؟
676,283.0,新缬草属,https://ar.wikipedia.org/wiki/ناردين_صغير,ما هي بعض الأسماء الشائعة للناردين الصغير؟
677,287.0,Infiniti G,https://ar.wikipedia.org/wiki/إنفينيتي_جي,ما هي الشركة التي تنتج سيارة إنفينيتي جي؟
678,291.0,Omega Centauri,https://ar.wikipedia.org/wiki/أوميجا_قنطورس,ما الذي يميز تجمع أوميغا قنطورس عن التجمعات النجمية الكروية الأخرى؟
679,298.0,Canon EOS 70D,https://ar.wikipedia.org/wiki/كانون_إي_أو_إس_70_دي,ما هو الطراز الذي استبدلته كاميرا كانون إي أو إس 70 دي؟
681,315.0,Microsoft Edge,https://ar.wikipedia.org/wiki/مايكروسوفت_إيدج,في أي نظام تشغيل تم دمج مايكروسوفت إيدج؟
683,97.0,Wheein,https://ar.wikipedia.org/wiki/هويين_(مغنية),هل كانت جونغ هوي-إن العضو الوحيد في فرقة مامامو؟
684,103.0,Labalme,https://ar.wikipedia.org/wiki/لابالم_(أين),في أي إقليم تقع بلدية لابالم؟
687,121.0,Victoire Tomegah Dogbé,https://ar.wikipedia.org/wiki/فيكتوار_توميغا_داغبي,هل فيكتوار توميغا داغبي هي أول امرأة تشغل منصب رئيس وزراء في توغو؟
690,130.0,阿尔卑斯带,https://ar.wikipedia.org/wiki/حزام_ألبي,ما هو الحزام الزلزالي الذي يتصدر النشاط الزلزالي في العالم قبل الحزام الألبي؟
695,143.0,哥伦比亚总统,https://ar.wikipedia.org/wiki/رئيس_كولومبيا,من كان أول رئيس لكولومبيا الكبرى؟
699,178.0,锡德里克·利德尔,https://ar.wikipedia.org/wiki/سيدريك_ليدل,ما هي الرياضة التي مارسها سيدريك ليدل؟
700,189.0,Röstrubbningar,https://ar.wikipedia.org/wiki/قائمة_اضطرابات_الصوت,كيف تؤثر اضطرابات الصوت على الإنسان؟
701,199.0,酒田市,https://ar.wikipedia.org/wiki/ساكاتا_(ياماغاتا),متى تأسست مدينة ساكاتا رسميًا؟
702,208.0,Arcade (architecture),https://ar.wikipedia.org/wiki/رواق_مقنطر,ما هو النوع المعين من الرواق المقنطر الذي كان خاصًا بالكنائس المسيحية الأوائل؟
703,223.0,Andrei Kravchuk,https://ar.wikipedia.org/wiki/أندريه_كرافتشوك,ما الجامعة التي درس فيها أندريه كرافتشوك؟
705,234.0,海法大学,https://ar.wikipedia.org/wiki/جامعة_حيفا,ما هو المتحف الموجود في جامعة حيفا؟
708,245.0,268 av. J.-C.,https://ar.wikipedia.org/wiki/268_ق_م,من أصبح إمبراطورًا على الإمبراطورية الماورية عام 268 ق.م؟
710,252.0,地狱 (小说),https://ar.wikipedia.org/wiki/الجحيم_(رواية_دان_براون),"ما هو رقم ""الجحيم"" في ترتيب سلسلة كتب روبرت لانغدون؟"
711,254.0,Frances Farmer,https://ar.wikipedia.org/wiki/فرانسيز_فارمر,ما هو سبب وفاة فرانسيز فارمر؟
712,255.0,Pléiotropie,https://ar.wikipedia.org/wiki/تعدد_النمط_الظاهري,ما هي الأسماء الأخرى لتعدد النمط الظاهري؟
713,259.0,Agastache,https://ar.wikipedia.org/wiki/أغستاش,ما هو أصل الاسم العلمي للأغستاش وما معناه ؟
715,273.0,The Leftovers,https://ar.wikipedia.org/wiki/الباقون_(مسلسل),"هل فاز فيلم ""الباقون"" بجائزة رابطة النقاد التلفزيونية لأفضل إنجاز درامي في عام 2016؟"
718,308.0,警察学校 (电影),https://ar.wikipedia.org/wiki/أكاديمية_الشرطة_(فيلم),كم عدد رجال الشرطة الذين يتحدث عنهم فيلم أكاديمية الشرطة؟
719,317.0,Emden (1925),https://ar.wikipedia.org/wiki/الطراد_الألماني_إمدن,كيف انتهت حياة الطراد إمدن؟
720,73.0,2011年歐洲超級盃,https://ar.wikipedia.org/wiki/كأس_السوبر_الأوروبي_2011,ما كانت نتيجة المباراة النهائية لكأس السوبر الأوروبي 2011؟
721,75.0,莫里茨·福尔茨,https://ar.wikipedia.org/wiki/موريتس_فولتس,مع أي فريق يعمل موريتس فولتس كمدرب مساعد منذ عام 2019؟
723,114.0,阿道夫·加兰德,https://ar.wikipedia.org/wiki/أدولف_غالاند,كم عدد الانتصارات الجوية التي حققها أدولف جالاند؟
725,123.0,Comté de Gogebic,https://ar.wikipedia.org/wiki/مقاطعة_غوجيبيك_(ميشيغان),مع أي مقاطعة تشترك غوجيبيك في الحدود من جهة الشمال؟
726,124.0,津巴布韦历史,https://ar.wikipedia.org/wiki/تاريخ_زيمبابوي,"من غنى أغنية ""زيمبابوي"" في احتفالات الاستقلال في زيمبابوي؟"
727,127.0,Aloadae,https://ar.wikipedia.org/wiki/الوعداء,في أي عمل أدبي يظهر إفيالتس كواحد من ستة عمالقة الذين وضعوا في الحفرة الكبيرة التي تفصل بين الدوائر الثامنة والتاسعة من الجحيم ؟
728,136.0,法國航空296號班機空難,https://ar.wikipedia.org/wiki/الخطوط_الجوية_الفرنسية_الرحلة_296,كم عدد الركاب الذين ماتوا في حادث الخطوط الجوية الفرنسية الرحلة 296؟
729,139.0,BMW X2,https://ar.wikipedia.org/wiki/بي_إم_دبليو_إكس2,منذ أي عام بدأت شركة بي إم دبليو إنتاج سيارة بي إم دبليو إكس2؟
731,148.0,凱撒首領,https://ar.wikipedia.org/wiki/كايسر_تشيفس,هل يوجد في فرقة كايسر تشيفس عضو يعزف على البيانو؟
732,166.0,Bataille de Long Island,https://ar.wikipedia.org/wiki/معركة_لونغ_آيلند,ما هي الأسماء الأخرى التي تعرف بها معركة لونغ آيلاند؟
737,215.0,Kyle Korver,https://ar.wikipedia.org/wiki/كايل_كورفر,مع أي فريق كان يلعب كايل كورفر في الرابطة الوطنية لكرة السلة؟
738,221.0,吕林,https://ar.wikipedia.org/wiki/لو_لين_(لاعب_تنس_الطاولة),ما هو طول لو لين؟
739,230.0,卡伦·珀西,https://ar.wikipedia.org/wiki/كارين_بيرسي,أين ولدت كارين بيرسي؟
740,239.0,巴赫拉姆一世,https://ar.wikipedia.org/wiki/بهرام_بن_سابور,كم دامت مدة حكم بَهْرام الأول؟
741,241.0,Collage (art),https://ar.wikipedia.org/wiki/تلزيق_(فن),أين نشأ فن التلزيق؟
742,316.0,Bombykol,https://ar.wikipedia.org/wiki/بومبيكول,ما هو الدور الذي يلعبه بومبيكول في الجسم الحي؟
743,2.0,David F. Sandberg,https://ar.wikipedia.org/wiki/ديفيد_ساندبيرغ,ما هو اسم الزوجة الحالية لديفيد ساندبيرغ؟
744,7.0,Helsingin Jalkapalloklubi,https://ar.wikipedia.org/wiki/نادي_هلسنكي,من هو مؤسس نادي هلسنكي؟
745,85.0,铲齿中喙鲸,https://ar.wikipedia.org/wiki/الحوت_المنقاري_مجرفي_الأسنان,ما نوع الكائن الذي ينتمي إليه الحوت المنقاري مجرفي الأسنان؟
746,88.0,BAFTA Award for Best Actor in a Supporting Role,https://ar.wikipedia.org/wiki/جائزة_البافتا_لأفضل_ممثل_في_دور_ثانوي,من يمنح جائزة البافتا لأفضل ممثل في دور ثانوي؟
747,89.0,Deuxième concile de Nicée,https://ar.wikipedia.org/wiki/مجمع_نيقية_الثاني,في أي عام أقيم مجمع نيقية الثاني؟
748,90.0,Mario Bolatti,https://ar.wikipedia.org/wiki/ماريو_بولاتي,ما هو مركز اللعب الذي يشغله ماريو  بولاتي؟
749,149.0,19521 Chaos,https://ar.wikipedia.org/wiki/19521_كيآس,في أي حزام يقع 19521 كيآس؟
750,155.0,Domantas Sabonis,https://ar.wikipedia.org/wiki/دومانتاس_سابونيس,متى بدأ دومانتاس سابونيس مسيرته الاحترافية في كرة السلة؟
751,186.0,Catherine McCormack,https://ar.wikipedia.org/wiki/كاثيرين_مككورماك,في أي فيلم مثلت كاثيرين مككورماك دور حبيبة وليام والاس؟
752,191.0,福门特拉岛,https://ar.wikipedia.org/wiki/فورمينتيرا,ما هي اللغات الرسمية في جزيرة فُرمنتيرة؟
753,192.0,Ligne 8 du métro de Paris,https://ar.wikipedia.org/wiki/الخط_8_لمترو_باريس,كم عدد المحطات التي يتوقف عندها الخط 8 لمترو باريس؟
